location,forecast_JBUD-HMXK,target_date,type
AT,103936,2021-11-27,day
CZ,94646,2021-11-27,day
DE,419190,2021-11-27,day
DK,31100,2021-11-27,day
ES,25319,2021-11-27,day
FI,4609,2021-11-27,day
FR,62227,2021-11-27,day
GR,52966,2021-11-27,day
HU,47345,2021-11-27,day
IE,36203,2021-11-27,day
IT,82882,2021-11-27,day
LT,10336,2021-11-27,day
LV,3466,2021-11-27,day
NL,105539,2021-11-27,day
NO,15537,2021-11-27,day
PL,138043,2021-11-27,day
PT,8903,2021-11-27,day
SE,6728,2021-11-27,day
SI,16529,2021-11-27,day
SK,39147,2021-11-27,day
