location,forecast_MIMUW-StochSEIR,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
PL,2415,2246,2265,2288,2318,2336,2351,2365,2378,2388,2396,2405,2415,2424,2436,2445,2456,2469,2484,2498,2514,2542,2567,2596,2021-05-08,day
