location,forecast_ILM-EKF,target_date,type
AT,16,2021-11-27,day
CZ,22,2021-11-27,day
DE,261,2021-11-27,day
DK,1,2021-11-27,day
ES,409,2021-11-27,day
FI,32,2021-11-27,day
FR,251,2021-11-27,day
GR,180,2021-11-27,day
HU,42,2021-11-27,day
IE,23,2021-11-27,day
IT,460,2021-11-27,day
LT,17,2021-11-27,day
LV,39,2021-11-27,day
NL,10,2021-11-27,day
NO,22,2021-11-27,day
PL,490,2021-11-27,day
PT,52,2021-11-27,day
SE,92,2021-11-27,day
SI,12,2021-11-27,day
SK,31,2021-11-27,day
