location,forecast_MIMUW-StochSEIR,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
PL,1321,988,1042,1091,1130,1167,1197,1221,1243,1261,1281,1297,1321,1341,1358,1381,1398,1419,1439,1469,1505,1558,1614,1645,2021-06-26,day
