location,forecast_JBUD-HMXK,target_date,type
AT,106753,2021-11-27,day
CZ,117057,2021-11-27,day
DE,434524,2021-11-27,day
DK,31796,2021-11-27,day
ES,33321,2021-11-27,day
FI,9167,2021-11-27,day
FR,122354,2021-11-27,day
GR,45298,2021-11-27,day
HU,54755,2021-11-27,day
IE,28882,2021-11-27,day
IT,83393,2021-11-27,day
LT,10114,2021-11-27,day
LV,4017,2021-11-27,day
NL,135887,2021-11-27,day
NO,16294,2021-11-27,day
PL,162209,2021-11-27,day
PT,12334,2021-11-27,day
SE,7008,2021-11-27,day
SI,20602,2021-11-27,day
SK,67076,2021-11-27,day
