location,forecast_JBUD-HMXK,target_date,type
AT,89669,2021-11-20,day
CZ,92558,2021-11-20,day
DE,362994,2021-11-20,day
DK,26254,2021-11-20,day
ES,22215,2021-11-20,day
FI,4106,2021-11-20,day
FR,53486,2021-11-20,day
GR,56277,2021-11-20,day
HU,54838,2021-11-20,day
IE,30640,2021-11-20,day
IT,70815,2021-11-20,day
LT,14553,2021-11-20,day
LV,6198,2021-11-20,day
NL,90873,2021-11-20,day
NO,13305,2021-11-20,day
PL,119534,2021-11-20,day
PT,8704,2021-11-20,day
SE,5746,2021-11-20,day
SI,23122,2021-11-20,day
SK,45896,2021-11-20,day
