location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,11903,3511,9165,15128,43409,2021-09-11,day
BG,10693,3155,8234,13591,38999,2021-09-11,day
CY,1523,449,1173,1936,5555,2021-09-11,day
CZ,1243,367,957,1580,4535,2021-09-11,day
DK,3597,1061,2770,4572,13120,2021-09-11,day
EE,2569,758,1978,3266,9371,2021-09-11,day
FI,4488,1324,3456,5704,16368,2021-09-11,day
GB,248208,73221,191120,315472,905214,2021-09-11,day
GR,15786,4657,12155,20063,57570,2021-09-11,day
HR,5854,1727,4508,7441,21351,2021-09-11,day
IT,36880,10880,28397,46874,134501,2021-09-11,day
LT,5489,1619,4226,6976,20017,2021-09-11,day
NL,17376,5126,13379,22084,63369,2021-09-11,day
NO,12051,3555,9279,15317,43950,2021-09-11,day
PL,1585,468,1221,2015,5781,2021-09-11,day
RO,11521,3399,8871,14643,42016,2021-09-11,day
SI,4773,1408,3675,6066,17406,2021-09-11,day
SK,2141,632,1649,2721,7808,2021-09-11,day
