location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
BE,9964,2939,7672,12665,36340,2021-07-24,day
BG,840,248,646,1067,3062,2021-07-24,day
CY,7227,2132,5565,9186,26357,2021-07-24,day
CZ,1457,430,1122,1852,5313,2021-07-24,day
DE,12586,3713,9691,15997,45901,2021-07-24,day
DK,9590,2829,7384,12189,34975,2021-07-24,day
EE,287,85,221,365,1048,2021-07-24,day
ES,133216,39299,102576,169317,485837,2021-07-24,day
FI,2476,730,1906,3147,9029,2021-07-24,day
FR,69449,20488,53476,88270,253281,2021-07-24,day
GB,385581,113746,296898,490074,1406215,2021-07-24,day
GR,22974,6777,17690,29200,83786,2021-07-24,day
HR,896,264,690,1139,3268,2021-07-24,day
IE,10257,3026,7898,13037,37409,2021-07-24,day
IS,0,0,0,0,0,2021-07-24,day
IT,25944,7654,19977,32975,94620,2021-07-24,day
LI,1,0,1,2,5,2021-07-24,day
LT,898,265,692,1142,3277,2021-07-24,day
LU,342,101,263,435,1248,2021-07-24,day
LV,232,69,179,295,847,2021-07-24,day
MT,2696,795,2076,3427,9834,2021-07-24,day
NO,1095,323,843,1391,3992,2021-07-24,day
PL,623,184,480,792,2273,2021-07-24,day
PT,25679,7575,19773,32638,93651,2021-07-24,day
RO,501,148,386,636,1826,2021-07-24,day
SI,334,99,257,424,1218,2021-07-24,day
SK,396,117,305,503,1443,2021-07-24,day
