location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,15827,4669,12187,20116,57721,2021-12-18,day
BG,10972,3237,8449,13946,40015,2021-12-18,day
DE,292216,86204,225007,371407,1065713,2021-12-18,day
DK,53609,15815,41279,68137,195513,2021-12-18,day
EE,3020,891,2325,3839,11014,2021-12-18,day
GB,380068,112120,292652,483066,1386106,2021-12-18,day
GR,32507,9590,25031,41317,118554,2021-12-18,day
HR,19312,5697,14871,24546,70432,2021-12-18,day
IE,25645,7565,19747,32595,93529,2021-12-18,day
IT,126241,37241,97205,160452,460400,2021-12-18,day
LT,10064,2969,7749,12791,36702,2021-12-18,day
LV,4214,1243,3244,5355,15367,2021-12-18,day
NL,108189,31916,83305,137508,394565,2021-12-18,day
NO,40168,11850,30929,51053,146492,2021-12-18,day
PL,144930,42754,111596,184206,528560,2021-12-18,day
PT,30565,9017,23535,38848,111470,2021-12-18,day
SI,7670,2263,5906,9748,27971,2021-12-18,day
SK,35097,10354,27025,44608,127999,2021-12-18,day
