location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,9726,2869,7489,12361,35469,2021-08-28,day
BG,11566,3412,8906,14700,42181,2021-08-28,day
CY,1731,511,1333,2200,6312,2021-08-28,day
CZ,1166,344,897,1481,4251,2021-08-28,day
DE,67932,20040,52307,86341,247747,2021-08-28,day
DK,6215,1833,4785,7899,22664,2021-08-28,day
EE,1259,371,969,1600,4590,2021-08-28,day
FI,4022,1186,3097,5112,14667,2021-08-28,day
FR,134053,39546,103221,170382,488893,2021-08-28,day
GB,247756,73088,190772,314898,903566,2021-08-28,day
GR,22428,6616,17269,28505,81793,2021-08-28,day
IE,12195,3598,9390,15500,44476,2021-08-28,day
IT,42265,12468,32544,53718,154139,2021-08-28,day
LT,3959,1168,3049,5032,14440,2021-08-28,day
NL,17878,5274,13766,22723,65201,2021-08-28,day
PT,15159,4472,11672,19267,55284,2021-08-28,day
RO,5425,1601,4178,6896,19787,2021-08-28,day
SI,2449,723,1886,3113,8932,2021-08-28,day
