location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,1484,438,1143,1886,5413,2021-06-19,day
BE,3606,1064,2776,4583,13150,2021-06-19,day
BG,656,193,505,833,2391,2021-06-19,day
CY,405,119,312,515,1477,2021-06-19,day
CZ,1128,333,869,1434,4114,2021-06-19,day
DE,10946,3229,8429,13913,39922,2021-06-19,day
DK,2151,635,1656,2734,7846,2021-06-19,day
EE,245,72,189,311,893,2021-06-19,day
FI,401,118,309,510,1464,2021-06-19,day
FR,16820,4962,12952,21379,61344,2021-06-19,day
GB,66260,19547,51020,84216,241650,2021-06-19,day
GR,3867,1141,2978,4915,14103,2021-06-19,day
HR,710,209,547,902,2589,2021-06-19,day
HU,490,145,377,623,1787,2021-06-19,day
IE,1879,554,1447,2388,6851,2021-06-19,day
IS,0,0,0,0,0,2021-06-19,day
IT,10144,2992,7811,12893,36995,2021-06-19,day
LT,791,233,609,1005,2883,2021-06-19,day
LU,136,40,104,172,494,2021-06-19,day
LV,901,266,694,1145,3286,2021-06-19,day
MT,6,2,4,7,21,2021-06-19,day
NL,6189,1826,4766,7866,22572,2021-06-19,day
NO,738,218,568,938,2691,2021-06-19,day
PL,1653,488,1273,2101,6028,2021-06-19,day
PT,3907,1153,3008,4966,14249,2021-06-19,day
RO,637,188,490,809,2321,2021-06-19,day
SI,813,240,626,1033,2965,2021-06-19,day
SK,509,150,392,647,1856,2021-06-19,day
