location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,116785,34452,89925,148434,425917,2021-11-27,day
BG,14230,4198,10957,18087,51898,2021-11-27,day
CZ,126656,37363,97525,160980,461914,2021-11-27,day
DE,410811,121189,316324,522141,1498227,2021-11-27,day
DK,24968,7366,19226,31735,91060,2021-11-27,day
EE,4112,1213,3167,5227,14998,2021-11-27,day
FR,176043,51933,135553,223751,642029,2021-11-27,day
GB,294533,86887,226790,374351,1074160,2021-11-27,day
GR,47303,13954,36423,60122,172512,2021-11-27,day
HR,28481,8402,21930,36199,103871,2021-11-27,day
IT,79032,23314,60855,100450,288230,2021-11-27,day
LT,9280,2738,7145,11794,33843,2021-11-27,day
LV,4092,1207,3151,5200,14922,2021-11-27,day
NL,178660,52705,137568,227077,651573,2021-11-27,day
NO,16401,4838,12628,20845,59813,2021-11-27,day
PL,172858,50993,133101,219703,630413,2021-11-27,day
PT,20671,6098,15917,26273,75387,2021-11-27,day
RO,12011,3543,9249,15266,43805,2021-11-27,day
SK,84843,25029,65329,107835,309421,2021-11-27,day
