location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
BE,6053,1786,4661,7693,22075,2021-07-17,day
BG,263,77,202,334,957,2021-07-17,day
CY,10629,3136,8185,13510,38765,2021-07-17,day
CZ,1108,327,853,1408,4040,2021-07-17,day
DE,6271,1850,4828,7970,22869,2021-07-17,day
DK,5836,1722,4494,7418,21285,2021-07-17,day
EE,553,163,426,702,2015,2021-07-17,day
FI,1815,536,1398,2307,6620,2021-07-17,day
FR,36638,10808,28211,46567,133620,2021-07-17,day
GB,254192,74987,195728,323078,927038,2021-07-17,day
GR,24887,7342,19163,31631,90762,2021-07-17,day
HR,568,168,437,722,2072,2021-07-17,day
HU,128,38,99,163,469,2021-07-17,day
IE,4290,1266,3304,5453,15647,2021-07-17,day
IS,0,0,0,0,0,2021-07-17,day
LI,19,6,15,24,70,2021-07-17,day
LT,594,175,458,755,2167,2021-07-17,day
LV,152,45,117,193,554,2021-07-17,day
MT,2621,773,2018,3331,9558,2021-07-17,day
NL,138829,40954,106898,176451,506308,2021-07-17,day
NO,2585,763,1991,3286,9428,2021-07-17,day
PL,382,113,294,485,1392,2021-07-17,day
PT,22816,6731,17568,28999,83209,2021-07-17,day
RO,262,77,201,332,954,2021-07-17,day
SE,875,258,674,1112,3191,2021-07-17,day
SI,932,275,717,1184,3397,2021-07-17,day
SK,272,80,210,346,992,2021-07-17,day
