location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,40980,12089,31555,52086,149454,2021-11-06,day
BG,26304,7760,20254,33432,95931,2021-11-06,day
CZ,49171,14505,37861,62496,179325,2021-11-06,day
DK,15086,4450,11616,19174,55019,2021-11-06,day
EE,15093,4453,11622,19184,55046,2021-11-06,day
FR,43915,12955,33815,55816,160159,2021-11-06,day
GB,258334,76208,198917,328342,942142,2021-11-06,day
GR,29201,8614,22485,37115,106497,2021-11-06,day
HR,25016,7380,19262,31795,91233,2021-11-06,day
IE,16033,4730,12345,20378,58471,2021-11-06,day
IT,38329,11307,29514,48717,139787,2021-11-06,day
LT,20280,5983,15616,25776,73961,2021-11-06,day
LV,17718,5227,13643,22519,64616,2021-11-06,day
NL,67122,19801,51684,85312,244793,2021-11-06,day
NO,10113,2983,7787,12853,36881,2021-11-06,day
PL,71943,21223,55396,91439,262375,2021-11-06,day
PT,5322,1570,4098,6764,19408,2021-11-06,day
SI,20655,6093,15904,26252,75328,2021-11-06,day
SK,28914,8530,22264,36750,105450,2021-11-06,day
