location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,3163,933,2436,4020,11536,2021-08-14,day
CZ,1077,318,829,1368,3927,2021-08-14,day
DE,26371,7779,20306,33518,96176,2021-08-14,day
DK,6288,1855,4842,7992,22932,2021-08-14,day
EE,1184,349,912,1505,4318,2021-08-14,day
FI,6689,1973,5151,8502,24395,2021-08-14,day
GB,202233,59659,155719,257038,737544,2021-08-14,day
GR,20290,5985,15623,25788,73997,2021-08-14,day
HR,1061,313,817,1348,3868,2021-08-14,day
IE,11774,3473,9066,14965,42940,2021-08-14,day
IT,43983,12975,33867,55902,160404,2021-08-14,day
LT,3805,1122,2930,4836,13875,2021-08-14,day
NO,3916,1155,3015,4977,14280,2021-08-14,day
PT,14293,4217,11006,18167,52128,2021-08-14,day
RO,2144,633,1651,2725,7820,2021-08-14,day
SI,1093,323,842,1390,3987,2021-08-14,day
