location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,29963,8839,23071,38083,109275,2021-10-30,day
BG,38134,11250,29364,48469,139077,2021-10-30,day
CZ,38025,11217,29279,48330,138678,2021-10-30,day
DE,142909,42158,110040,181637,521187,2021-10-30,day
DK,11204,3305,8627,14241,40862,2021-10-30,day
EE,10315,3043,7943,13111,37620,2021-10-30,day
GB,305672,90173,235367,388509,1114785,2021-10-30,day
GR,28549,8422,21983,36285,104117,2021-10-30,day
HR,26323,7765,20269,33457,96002,2021-10-30,day
IE,16825,4963,12956,21385,61362,2021-10-30,day
IT,28062,8278,21608,35667,102344,2021-10-30,day
LT,21287,6280,16391,27055,77632,2021-10-30,day
LV,22506,6639,17330,28605,82079,2021-10-30,day
NL,44932,13255,34598,57109,163868,2021-10-30,day
NO,5658,1669,4357,7192,20637,2021-10-30,day
PL,52814,15580,40666,67126,192611,2021-10-30,day
PT,4273,1260,3290,5431,15582,2021-10-30,day
RO,104170,30730,80211,132400,379907,2021-10-30,day
SI,16978,5008,13073,21579,61918,2021-10-30,day
