location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,10187,3005,7844,12947,37151,2021-09-04,day
CY,1361,401,1048,1730,4963,2021-09-04,day
CZ,1305,385,1005,1658,4759,2021-09-04,day
DE,79758,23529,61413,101372,290876,2021-09-04,day
DK,6288,1855,4842,7992,22932,2021-09-04,day
EE,2953,871,2274,3753,10768,2021-09-04,day
FI,3734,1102,2875,4746,13618,2021-09-04,day
GB,239879,70764,184707,304887,874840,2021-09-04,day
IE,12538,3699,9655,15936,45728,2021-09-04,day
IT,39642,11694,30524,50385,144575,2021-09-04,day
LT,3925,1158,3022,4989,14316,2021-09-04,day
NL,18324,5406,14110,23290,66828,2021-09-04,day
PL,1232,363,948,1566,4492,2021-09-04,day
PT,14842,4378,11428,18864,54128,2021-09-04,day
SI,4131,1219,3181,5250,15065,2021-09-04,day
