location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,587,173,452,747,2142,2021-07-03,day
BE,2868,846,2208,3645,10459,2021-07-03,day
BG,333,98,256,423,1214,2021-07-03,day
CH,197,58,151,250,717,2021-07-03,day
CZ,834,246,643,1061,3043,2021-07-03,day
DE,3039,897,2340,3863,11084,2021-07-03,day
DK,887,262,683,1127,3235,2021-07-03,day
EE,83,24,64,105,302,2021-07-03,day
FI,963,284,742,1224,3513,2021-07-03,day
FR,8878,2619,6836,11284,32377,2021-07-03,day
GB,137849,40666,106144,175207,502737,2021-07-03,day
GR,1954,577,1505,2484,7128,2021-07-03,day
HR,461,136,355,586,1683,2021-07-03,day
HU,358,106,276,455,1306,2021-07-03,day
IE,2361,697,1818,3001,8611,2021-07-03,day
IS,0,0,0,0,0,2021-07-03,day
IT,3162,933,2435,4019,11532,2021-07-03,day
LT,126,37,97,160,459,2021-07-03,day
LV,258,76,199,328,942,2021-07-03,day
MT,11,3,8,14,39,2021-07-03,day
NL,3046,899,2346,3872,11110,2021-07-03,day
NO,1145,338,881,1455,4174,2021-07-03,day
PL,666,197,513,847,2431,2021-07-03,day
PT,10240,3021,7885,13015,37345,2021-07-03,day
RO,255,75,196,324,929,2021-07-03,day
SI,164,48,126,209,599,2021-07-03,day
SK,320,94,247,407,1168,2021-07-03,day
