location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,587,173,452,746,2141,2021-06-26,day
BE,1927,568,1484,2449,7026,2021-06-26,day
BG,605,178,466,768,2205,2021-06-26,day
CY,510,150,393,648,1860,2021-06-26,day
CZ,465,137,358,591,1696,2021-06-26,day
DE,3707,1094,2855,4712,13521,2021-06-26,day
DK,1019,301,784,1295,3715,2021-06-26,day
EE,232,68,179,295,846,2021-06-26,day
FI,410,121,316,522,1497,2021-06-26,day
FR,9784,2886,7534,12436,35683,2021-06-26,day
GB,73633,21722,56697,93587,268539,2021-06-26,day
GR,2077,613,1599,2640,7575,2021-06-26,day
HR,349,103,269,444,1273,2021-06-26,day
HU,318,94,245,404,1159,2021-06-26,day
IE,1998,589,1539,2540,7288,2021-06-26,day
IS,0,0,0,0,0,2021-06-26,day
IT,5551,1638,4274,7056,20245,2021-06-26,day
LT,403,119,310,512,1469,2021-06-26,day
LU,21,6,16,27,77,2021-06-26,day
LV,526,155,405,668,1917,2021-06-26,day
NL,4214,1243,3244,5355,15367,2021-06-26,day
PL,763,225,588,970,2783,2021-06-26,day
RO,333,98,256,423,1215,2021-06-26,day
SE,26,8,20,33,94,2021-06-26,day
SI,299,88,230,380,1090,2021-06-26,day
SK,125,37,96,159,455,2021-06-26,day
