location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,12190,3596,9386,15494,44458,2021-10-16,day
BG,15594,4600,12007,19820,56870,2021-10-16,day
CZ,4585,1352,3530,5827,16720,2021-10-16,day
DE,58018,17115,44674,73741,211593,2021-10-16,day
DK,4888,1442,3764,6213,17828,2021-10-16,day
EE,7790,2298,5998,9901,28411,2021-10-16,day
FR,21639,6384,16662,27503,78918,2021-10-16,day
GB,259613,76586,199902,329968,946808,2021-10-16,day
GR,16003,4721,12323,20340,58364,2021-10-16,day
HR,9221,2720,7100,11719,33627,2021-10-16,day
IE,8287,2445,6381,10533,30223,2021-10-16,day
IT,15229,4492,11726,19356,55539,2021-10-16,day
LT,17315,5108,13332,22007,63148,2021-10-16,day
LV,12740,3758,9810,16192,46462,2021-10-16,day
NL,20205,5961,15558,25681,73689,2021-10-16,day
NO,2543,750,1958,3232,9274,2021-10-16,day
PT,3786,1117,2915,4812,13808,2021-10-16,day
RO,87275,25746,67202,110927,318293,2021-10-16,day
SI,5205,1535,4008,6616,18983,2021-10-16,day
