location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,4235,1249,3261,5383,15446,2021-05-22,day
BE,12112,3573,9326,15394,44171,2021-05-22,day
BG,2837,837,2185,3606,10348,2021-05-22,day
CY,881,260,678,1119,3211,2021-05-22,day
CZ,5806,1713,4471,7380,21176,2021-05-22,day
DE,36470,10759,28082,46353,133005,2021-05-22,day
DK,7932,2340,6107,10081,28927,2021-05-22,day
EE,1667,492,1283,2118,6078,2021-05-22,day
FI,1152,340,887,1464,4201,2021-05-22,day
FR,65627,19360,50533,83412,239341,2021-05-22,day
GB,16596,4896,12779,21093,60524,2021-05-22,day
GR,13060,3853,10056,16599,47629,2021-05-22,day
HR,3708,1094,2855,4713,13524,2021-05-22,day
HU,4849,1431,3734,6164,17686,2021-05-22,day
IE,2622,773,2019,3332,9561,2021-05-22,day
IT,36834,10866,28362,46816,134333,2021-05-22,day
LT,7656,2259,5895,9731,27922,2021-05-22,day
NL,29650,8747,22830,37685,108132,2021-05-22,day
NO,2620,773,2017,3329,9553,2021-05-22,day
PL,18028,5318,13882,22914,65749,2021-05-22,day
PT,2150,634,1655,2732,7840,2021-05-22,day
RO,4191,1236,3227,5326,15284,2021-05-22,day
SI,2297,678,1769,2920,8377,2021-05-22,day
SK,2721,803,2095,3458,9923,2021-05-22,day
