location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,2573,759,1981,3270,9383,2021-08-07,day
BE,7303,2154,5623,9282,26634,2021-08-07,day
BG,3000,885,2310,3813,10940,2021-08-07,day
CY,3508,1035,2701,4458,12792,2021-08-07,day
CZ,1203,355,926,1529,4388,2021-08-07,day
DE,16859,4973,12982,21428,61486,2021-08-07,day
DK,7199,2124,5543,9150,26254,2021-08-07,day
FI,6146,1813,4733,7812,22416,2021-08-07,day
FR,158038,46621,121689,200866,576364,2021-08-07,day
GB,115552,34088,88975,146867,421420,2021-08-07,day
GR,19090,5631,14699,24263,69620,2021-08-07,day
HR,956,282,736,1216,3488,2021-08-07,day
HU,231,68,178,293,841,2021-08-07,day
IE,9219,2720,7099,11717,33621,2021-08-07,day
IS,1044,308,804,1327,3809,2021-08-07,day
IT,46458,13705,35772,59048,169431,2021-08-07,day
LI,9,3,7,11,32,2021-08-07,day
LT,2634,777,2028,3347,9605,2021-08-07,day
LU,121,36,93,154,442,2021-08-07,day
LV,444,131,342,564,1619,2021-08-07,day
MT,449,132,346,570,1637,2021-08-07,day
NL,15680,4626,12074,19930,57186,2021-08-07,day
NO,2702,797,2081,3435,9856,2021-08-07,day
PL,1068,315,822,1357,3895,2021-08-07,day
PT,10373,3060,7987,13184,37831,2021-08-07,day
RO,1484,438,1143,1887,5413,2021-08-07,day
SI,727,214,560,924,2651,2021-08-07,day
SK,266,78,204,338,969,2021-08-07,day
