location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,41587,12268,32022,52857,151668,2021-12-11,day
BG,12248,3613,9431,15568,44670,2021-12-11,day
DE,389415,114877,299850,494946,1420197,2021-12-11,day
DK,29222,8621,22501,37142,106574,2021-12-11,day
EE,2624,774,2021,3335,9571,2021-12-11,day
FR,334192,98587,257328,424758,1218798,2021-12-11,day
GB,325312,95967,250490,413472,1186413,2021-12-11,day
GR,37594,11090,28948,47783,137107,2021-12-11,day
HR,22706,6698,17484,28859,82808,2021-12-11,day
IE,35532,10482,27360,45162,129587,2021-12-11,day
IT,118299,34898,91090,150358,431436,2021-12-11,day
LT,10574,3119,8142,13440,38564,2021-12-11,day
LV,3521,1039,2711,4475,12842,2021-12-11,day
MT,799,236,615,1015,2913,2021-12-11,day
NL,145588,42948,112103,185042,530959,2021-12-11,day
NO,29845,8804,22981,37934,108846,2021-12-11,day
PL,162243,47862,124927,206211,591702,2021-12-11,day
PT,25831,7620,19890,32832,94207,2021-12-11,day
RO,6377,1881,4910,8105,23256,2021-12-11,day
SI,9692,2859,7463,12319,35348,2021-12-11,day
SK,76675,22619,59040,97454,279633,2021-12-11,day
