location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,78690,23213,60591,100015,286982,2021-11-13,day
BG,27822,8207,21423,35362,101467,2021-11-13,day
CZ,73562,21701,56643,93498,268281,2021-11-13,day
DE,199802,58942,153848,253949,728678,2021-11-13,day
FR,62015,18294,47752,78821,226169,2021-11-13,day
GB,206344,60871,158885,262263,752535,2021-11-13,day
GR,64692,19084,49813,82224,235933,2021-11-13,day
HR,39847,11755,30682,50646,145323,2021-11-13,day
IE,27524,8120,21194,34983,100381,2021-11-13,day
IT,38904,11477,29956,49447,141882,2021-11-13,day
LT,17083,5040,13154,21713,62303,2021-11-13,day
LV,10613,3131,8172,13489,38705,2021-11-13,day
NL,85409,25196,65765,108555,311487,2021-11-13,day
NO,12644,3730,9736,16070,46112,2021-11-13,day
PL,102197,30148,78691,129892,372711,2021-11-13,day
PT,8434,2488,6494,10719,30757,2021-11-13,day
RO,40681,12001,31324,51705,148362,2021-11-13,day
SI,28945,8539,22287,36789,105561,2021-11-13,day
SK,46605,13749,35886,59235,169969,2021-11-13,day
