location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,11781,3475,9071,14974,42965,2021-05-08,day
BE,17936,5291,13810,22796,65411,2021-05-08,day
BG,6103,1800,4699,7757,22257,2021-05-08,day
CY,2152,635,1657,2736,7849,2021-05-08,day
CZ,12351,3644,9510,15698,45044,2021-05-08,day
DE,117150,34559,90205,148897,427245,2021-05-08,day
DK,5011,1478,3859,6369,18276,2021-05-08,day
EE,2130,628,1640,2707,7769,2021-05-08,day
FI,1113,328,857,1414,4058,2021-05-08,day
FR,110444,32581,85042,140374,402788,2021-05-08,day
GB,13580,4006,10456,17260,49525,2021-05-08,day
GR,9254,2730,7126,11762,33751,2021-05-08,day
HR,10772,3178,8295,13692,39287,2021-05-08,day
HU,9891,2918,7616,12571,36071,2021-05-08,day
IE,2919,861,2248,3710,10645,2021-05-08,day
IS,30,9,23,38,108,2021-05-08,day
IT,76176,22472,58656,96820,277815,2021-05-08,day
LT,9232,2723,7108,11733,33667,2021-05-08,day
LV,4711,1390,3627,5988,17181,2021-05-08,day
MT,55,16,42,69,199,2021-05-08,day
NL,37207,10976,28650,47291,135695,2021-05-08,day
NO,2331,688,1795,2963,8501,2021-05-08,day
PL,27954,8246,21524,35529,101947,2021-05-08,day
PT,2507,740,1930,3186,9143,2021-05-08,day
RO,7663,2261,5900,9740,27947,2021-05-08,day
SI,4443,1311,3421,5648,16205,2021-05-08,day
SK,2686,792,2068,3414,9795,2021-05-08,day
