location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,16257,4796,12518,20663,59290,2021-10-23,day
BG,25547,7536,19671,32470,93170,2021-10-23,day
CZ,12487,3684,9615,15871,45541,2021-10-23,day
DE,67995,20059,52356,86422,247979,2021-10-23,day
DK,5140,1516,3958,6533,18746,2021-10-23,day
EE,9676,2854,7450,12298,35287,2021-10-23,day
GB,320823,94643,247033,407766,1170040,2021-10-23,day
GR,19289,5690,14853,24517,70348,2021-10-23,day
HR,10394,3066,8004,13211,37908,2021-10-23,day
IE,14926,4403,11493,18971,54435,2021-10-23,day
IT,16185,4775,12463,20571,59027,2021-10-23,day
LT,16009,4723,12327,20348,58386,2021-10-23,day
LV,20751,6121,15978,26374,75678,2021-10-23,day
NL,32195,9498,24790,40920,117415,2021-10-23,day
NO,2407,710,1853,3059,8778,2021-10-23,day
PT,4088,1206,3147,5195,14907,2021-10-23,day
RO,108399,31978,83467,137775,395331,2021-10-23,day
SI,7260,2142,5590,9228,26478,2021-10-23,day
