location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,2469,728,1901,3139,9006,2021-06-05,day
BE,9514,2807,7326,12092,34698,2021-06-05,day
BG,1206,356,929,1533,4399,2021-06-05,day
CH,3353,989,2582,4262,12230,2021-06-05,day
CY,264,78,204,336,964,2021-06-05,day
CZ,2359,696,1817,2999,8605,2021-06-05,day
DE,23705,6993,18253,30129,86451,2021-06-05,day
DK,6650,1962,5120,8452,24251,2021-06-05,day
EE,585,173,450,743,2133,2021-06-05,day
FI,686,202,528,872,2501,2021-06-05,day
GB,33607,9914,25877,42715,122565,2021-06-05,day
GR,11212,3308,8633,14250,40890,2021-06-05,day
HR,1367,403,1052,1737,4985,2021-06-05,day
HU,1042,308,803,1325,3802,2021-06-05,day
IE,0,0,0,0,0,2021-06-05,day
IS,0,0,0,0,0,2021-06-05,day
IT,18159,5357,13983,23081,66227,2021-06-05,day
LI,4,1,3,5,15,2021-06-05,day
LT,2413,712,1858,3067,8802,2021-06-05,day
LU,208,61,160,264,758,2021-06-05,day
LV,1568,463,1207,1993,5718,2021-06-05,day
MT,17,5,13,22,64,2021-06-05,day
NL,14312,4222,11020,18190,52196,2021-06-05,day
NO,2070,611,1594,2630,7548,2021-06-05,day
PL,3683,1087,2836,4682,13433,2021-06-05,day
PT,2930,864,2256,3725,10687,2021-06-05,day
RO,1226,362,944,1558,4472,2021-06-05,day
SI,1522,449,1172,1934,5550,2021-06-05,day
SK,542,160,417,689,1976,2021-06-05,day
