location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,6146,1813,4732,7812,22415,2021-05-15,day
BE,19364,5712,14910,24611,70619,2021-05-15,day
BG,4121,1216,3174,5238,15031,2021-05-15,day
CY,2299,678,1770,2922,8385,2021-05-15,day
CZ,8934,2636,6879,11355,32582,2021-05-15,day
DE,81254,23970,62566,103274,296334,2021-05-15,day
DK,6815,2010,5247,8661,24853,2021-05-15,day
FI,1476,436,1137,1876,5384,2021-05-15,day
FR,82965,24475,63883,105448,302573,2021-05-15,day
GB,13579,4006,10456,17259,49522,2021-05-15,day
GR,15858,4678,12210,20155,57833,2021-05-15,day
HR,6936,2046,5341,8816,25297,2021-05-15,day
HU,5936,1751,4571,7545,21650,2021-05-15,day
IE,2498,737,1923,3175,9110,2021-05-15,day
IS,9,3,7,11,33,2021-05-15,day
IT,54325,16026,41830,69047,198124,2021-05-15,day
LT,7940,2342,6114,10091,28956,2021-05-15,day
LV,3804,1122,2929,4835,13875,2021-05-15,day
MT,80,24,61,101,291,2021-05-15,day
NL,48773,14388,37555,61991,177876,2021-05-15,day
NO,2764,815,2128,3513,10080,2021-05-15,day
PL,17264,5093,13294,21943,62963,2021-05-15,day
PT,1883,556,1450,2393,6868,2021-05-15,day
RO,6194,1827,4769,7873,22590,2021-05-15,day
SI,4066,1199,3131,5168,14828,2021-05-15,day
SK,2382,703,1834,3027,8687,2021-05-15,day
