location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,2181,643,1679,2772,7955,2021-07-31,day
BE,7282,2148,5607,9255,26557,2021-07-31,day
BG,1145,338,882,1456,4177,2021-07-31,day
CH,3747,1105,2885,4762,13664,2021-07-31,day
CY,5965,1760,4593,7581,21753,2021-07-31,day
CZ,1266,373,974,1609,4615,2021-07-31,day
DE,12974,3827,9990,16490,47316,2021-07-31,day
DK,4206,1241,3239,5346,15340,2021-07-31,day
EE,918,271,707,1166,3346,2021-07-31,day
FI,3434,1013,2644,4365,12524,2021-07-31,day
GB,184105,54311,141761,233998,671432,2021-07-31,day
GR,18125,5347,13956,23037,66103,2021-07-31,day
HR,1380,407,1063,1754,5034,2021-07-31,day
HU,283,84,218,360,1033,2021-07-31,day
IE,10729,3165,8261,13636,39128,2021-07-31,day
IT,35977,10613,27702,45727,131209,2021-07-31,day
LI,30,9,23,38,108,2021-07-31,day
LV,330,97,254,420,1205,2021-07-31,day
MT,953,281,734,1211,3474,2021-07-31,day
NL,34270,10110,26388,43558,124984,2021-07-31,day
NO,1966,580,1514,2498,7169,2021-07-31,day
PL,748,221,576,950,2727,2021-07-31,day
PT,22402,6608,17249,28472,81699,2021-07-31,day
RO,919,271,707,1168,3351,2021-07-31,day
SI,503,148,387,640,1835,2021-07-31,day
SK,383,113,295,487,1398,2021-07-31,day
