location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,3120,920,2402,3965,11377,2021-05-29,day
BE,17137,5055,13195,21781,62498,2021-05-29,day
BG,1555,459,1198,1977,5672,2021-05-29,day
CY,437,129,337,556,1595,2021-05-29,day
CZ,3506,1034,2700,4457,12788,2021-05-29,day
DE,61294,18082,47196,77905,223540,2021-05-29,day
DK,6548,1932,5042,8322,23879,2021-05-29,day
EE,1264,373,974,1607,4612,2021-05-29,day
FI,1532,452,1180,1947,5587,2021-05-29,day
FR,29923,8827,23040,38032,109128,2021-05-29,day
GB,8411,2481,6476,10690,30674,2021-05-29,day
GR,8593,2535,6617,10922,31339,2021-05-29,day
HR,2287,675,1761,2907,8340,2021-05-29,day
HU,2648,781,2039,3365,9656,2021-05-29,day
IS,18,5,13,22,64,2021-05-29,day
IT,23957,7067,18447,30449,87370,2021-05-29,day
LI,15,4,12,19,55,2021-05-29,day
LT,4017,1185,3093,5105,14649,2021-05-29,day
LV,2220,655,1709,2822,8096,2021-05-29,day
MT,15,4,11,18,53,2021-05-29,day
NL,19870,5862,15300,25255,72467,2021-05-29,day
NO,3475,1025,2676,4416,12673,2021-05-29,day
PL,6724,1984,5177,8546,24522,2021-05-29,day
PT,2489,734,1917,3164,9078,2021-05-29,day
RO,2495,736,1921,3171,9100,2021-05-29,day
SI,1851,546,1425,2353,6751,2021-05-29,day
SK,1209,357,931,1537,4410,2021-05-29,day
