location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,1674,494,1289,2127,6103,2021-06-12,day
BE,8212,2423,6323,10437,29949,2021-06-12,day
BG,695,205,535,884,2536,2021-06-12,day
CY,295,87,227,375,1076,2021-06-12,day
CZ,1792,529,1380,2278,6537,2021-06-12,day
DE,16269,4799,12527,20678,59332,2021-06-12,day
DK,6059,1788,4666,7702,22099,2021-06-12,day
EE,478,141,368,608,1744,2021-06-12,day
FI,693,204,533,880,2526,2021-06-12,day
FR,35034,10335,26977,44529,127771,2021-06-12,day
GB,46115,13604,35509,58612,168182,2021-06-12,day
GR,5601,1652,4313,7119,20428,2021-06-12,day
HR,964,284,742,1225,3515,2021-06-12,day
HU,1601,472,1233,2035,5840,2021-06-12,day
IS,0,0,0,0,0,2021-06-12,day
IT,12584,3712,9690,15994,45894,2021-06-12,day
LI,23,7,17,29,82,2021-06-12,day
LT,1639,484,1262,2083,5978,2021-06-12,day
LV,1321,390,1017,1679,4819,2021-06-12,day
MT,32,10,25,41,118,2021-06-12,day
NL,9547,2816,7351,12134,34816,2021-06-12,day
NO,1380,407,1063,1754,5032,2021-06-12,day
PL,1657,489,1276,2106,6042,2021-06-12,day
PT,4687,1383,3609,5957,17092,2021-06-12,day
RO,811,239,625,1031,2959,2021-06-12,day
SE,6382,1883,4914,8112,23275,2021-06-12,day
SI,1664,491,1281,2115,6069,2021-06-12,day
SK,712,210,548,905,2597,2021-06-12,day
