location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,53708,15844,41355,68263,195873,2021-12-04,day
BG,14225,4196,10953,18080,51879,2021-12-04,day
DE,315059,92942,242596,400440,1149021,2021-12-04,day
DK,30889,9112,23784,39260,112652,2021-12-04,day
EE,3132,924,2412,3981,11422,2021-12-04,day
GB,317886,93776,244773,404034,1159332,2021-12-04,day
GR,43345,12787,33376,55092,158079,2021-12-04,day
HR,29611,8735,22801,37636,107993,2021-12-04,day
IT,97497,28762,75073,123919,355572,2021-12-04,day
LT,11479,3386,8839,14589,41863,2021-12-04,day
LV,5372,1585,4137,6828,19593,2021-12-04,day
NL,160738,47418,123768,204297,586210,2021-12-04,day
NO,20456,6035,15751,26000,74603,2021-12-04,day
PL,157800,46551,121506,200564,575497,2021-12-04,day
PT,25391,7490,19551,32273,92603,2021-12-04,day
RO,10238,3020,7883,13012,37338,2021-12-04,day
SI,9655,2848,7435,12272,35213,2021-12-04,day
SK,79740,23523,61400,101350,290812,2021-12-04,day
