location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,14261,4207,10981,18126,52010,2021-10-09,day
BG,15020,4431,11566,19091,54780,2021-10-09,day
CZ,3181,938,2449,4043,11600,2021-10-09,day
DE,55380,16337,42643,70388,201971,2021-10-09,day
DK,3512,1036,2705,4464,12810,2021-10-09,day
EE,5913,1744,4553,7516,21566,2021-10-09,day
GB,207465,61202,159748,263688,756625,2021-10-09,day
GR,14653,4323,11283,18624,53441,2021-10-09,day
HR,9138,2696,7036,11614,33326,2021-10-09,day
IE,8308,2451,6397,10560,30301,2021-10-09,day
IT,19232,5673,14809,24444,70139,2021-10-09,day
LT,13940,4112,10734,17717,50838,2021-10-09,day
LV,9804,2892,7549,12460,35754,2021-10-09,day
NL,11076,3267,8528,14077,40394,2021-10-09,day
NO,2646,781,2038,3364,9652,2021-10-09,day
PL,5831,1720,4490,7411,21266,2021-10-09,day
PT,3434,1013,2644,4365,12524,2021-10-09,day
RO,94667,27927,72893,120321,345250,2021-10-09,day
SI,6004,1771,4623,7631,21897,2021-10-09,day
