location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,9563,2821,7364,12155,34877,2021-10-02,day
BG,10198,3008,7852,12962,37192,2021-10-02,day
CZ,2798,826,2155,3557,10205,2021-10-02,day
DE,47991,14157,36953,60996,175022,2021-10-02,day
DK,2161,637,1664,2747,7881,2021-10-02,day
EE,4502,1328,3466,5722,16418,2021-10-02,day
GB,239533,70662,184441,304447,873578,2021-10-02,day
GR,13902,4101,10705,17670,50702,2021-10-02,day
HR,7694,2270,5924,9779,28059,2021-10-02,day
IE,9068,2675,6982,11525,33070,2021-10-02,day
IT,19182,5659,14770,24380,69956,2021-10-02,day
LT,11300,3334,8701,14362,41212,2021-10-02,day
LV,5226,1542,4024,6642,19058,2021-10-02,day
NL,9647,2846,7428,12261,35182,2021-10-02,day
NO,3627,1070,2793,4610,13228,2021-10-02,day
PL,6171,1821,4752,7844,22507,2021-10-02,day
PT,3172,936,2442,4032,11569,2021-10-02,day
RO,63229,18652,48686,80364,230595,2021-10-02,day
SK,8788,2593,6767,11170,32050,2021-10-02,day
