location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,14794,4364,11392,18804,53955,2021-09-18,day
BG,9331,2753,7185,11860,34032,2021-09-18,day
CY,786,232,605,999,2867,2021-09-18,day
CZ,1835,541,1413,2332,6691,2021-09-18,day
DE,58808,17348,45282,74744,214471,2021-09-18,day
DK,2431,717,1872,3089,8864,2021-09-18,day
EE,3531,1042,2719,4488,12878,2021-09-18,day
GB,255911,75494,197051,325263,933307,2021-09-18,day
GR,12072,3561,9296,15344,44028,2021-09-18,day
HR,7688,2268,5919,9771,28037,2021-09-18,day
IE,11789,3478,9078,14984,42994,2021-09-18,day
IT,30672,9048,23617,38984,111860,2021-09-18,day
LT,6797,2005,5234,8639,24789,2021-09-18,day
LV,3540,1044,2726,4499,12911,2021-09-18,day
NO,7263,2143,5592,9231,26488,2021-09-18,day
PL,2495,736,1921,3171,9098,2021-09-18,day
PT,6252,1844,4814,7946,22800,2021-09-18,day
RO,21155,6241,16290,26888,77154,2021-09-18,day
SI,8499,2507,6545,10803,30997,2021-09-18,day
SK,3854,1137,2968,4899,14056,2021-09-18,day
