location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,13755,4058,10591,17482,50164,2021-05-01,day
BE,23839,7033,18356,30300,86942,2021-05-01,day
BG,8390,2475,6460,10664,30598,2021-05-01,day
CH,7251,2139,5583,9216,26444,2021-05-01,day
CY,7348,2168,5658,9340,26799,2021-05-01,day
CZ,13352,3939,10281,16970,48695,2021-05-01,day
DE,131944,38923,101597,167701,481199,2021-05-01,day
DK,3168,935,2439,4027,11554,2021-05-01,day
EE,2094,618,1613,2662,7638,2021-05-01,day
FI,1397,412,1076,1776,5095,2021-05-01,day
FR,179152,52850,137947,227702,653368,2021-05-01,day
GB,16389,4835,12619,20830,59770,2021-05-01,day
GR,15714,4636,12100,19973,57309,2021-05-01,day
HR,14888,4392,11463,18922,54295,2021-05-01,day
HU,12305,3630,9475,15639,44876,2021-05-01,day
IE,3266,964,2515,4151,11912,2021-05-01,day
IS,163,48,125,207,593,2021-05-01,day
IT,83137,24525,64016,105667,303201,2021-05-01,day
LI,101,30,78,128,369,2021-05-01,day
LT,7858,2318,6051,9987,28658,2021-05-01,day
LV,4254,1255,3276,5407,15516,2021-05-01,day
MT,133,39,103,169,486,2021-05-01,day
NL,53441,15765,41150,67924,194901,2021-05-01,day
NO,2507,740,1931,3187,9145,2021-05-01,day
PL,45794,13509,35262,58205,167012,2021-05-01,day
PT,3167,934,2438,4025,11549,2021-05-01,day
RO,13101,3865,10088,16652,47781,2021-05-01,day
SI,4461,1316,3435,5670,16271,2021-05-01,day
SK,3241,956,2495,4119,11819,2021-05-01,day
