,country,target_date,target
0,Finland,2020-11-14,0.0
1,Iraq,2020-11-14,350.0
2,Czechia,2020-11-14,1239.0
3,Mauritius,2020-11-14,0.0
4,Austria,2020-11-14,315.0
5,Holy See,2020-11-14,0.0
6,Germany,2020-11-14,1316.0
7,Kosovo,2020-11-14,35.0
8,Serbia,2020-11-14,119.0
9,"Korea, South",2020-11-14,14.0
10,Papua New Guinea,2020-11-14,0.0
11,Cote d'Ivoire,2020-11-14,0.0
12,Indonesia,2020-11-14,525.0
13,Namibia,2020-11-14,0.0
14,Sri Lanka,2020-11-14,14.0
15,Grenada,2020-11-14,0.0
16,Syria,2020-11-14,28.0
17,Slovakia,2020-11-14,168.0
18,Jamaica,2020-11-14,14.0
19,Qatar,2020-11-14,0.0
20,Trinidad and Tobago,2020-11-14,0.0
21,Chad,2020-11-14,0.0
22,Colombia,2020-11-14,1253.0
23,Madagascar,2020-11-14,0.0
24,Israel,2020-11-14,42.0
25,New Zealand,2020-11-14,0.0
26,Niger,2020-11-14,0.0
27,Switzerland,2020-11-14,700.0
28,Togo,2020-11-14,0.0
29,Vietnam,2020-11-14,0.0
30,Seychelles,2020-11-14,0.0
31,Gambia,2020-11-14,0.0
32,Mongolia,2020-11-14,0.0
33,Burma,2020-11-14,168.0
34,Gabon,2020-11-14,0.0
35,Andorra,2020-11-14,0.0
36,Saint Lucia,2020-11-14,0.0
37,Lebanon,2020-11-14,84.0
38,Lithuania,2020-11-14,63.0
39,Saint Vincent and the Grenadines,2020-11-14,0.0
40,Senegal,2020-11-14,0.0
41,Ghana,2020-11-14,0.0
42,Nepal,2020-11-14,126.0
43,Kazakhstan,2020-11-14,0.0
44,Pakistan,2020-11-14,161.0
45,Liberia,2020-11-14,0.0
46,Solomon Islands,2020-11-14,0.0
47,Bulgaria,2020-11-14,504.0
48,Jordan,2020-11-14,560.0
49,Mexico,2020-11-14,4116.0
50,Mauritania,2020-11-14,0.0
51,Timor-Leste,2020-11-14,0.0
52,Angola,2020-11-14,21.0
53,Uganda,2020-11-14,7.0
54,Turkey,2020-11-14,609.0
55,Mali,2020-11-14,0.0
56,Guatemala,2020-11-14,91.0
57,North Macedonia,2020-11-14,182.0
58,Uruguay,2020-11-14,0.0
59,Luxembourg,2020-11-14,35.0
60,Kyrgyzstan,2020-11-14,35.0
61,Albania,2020-11-14,56.0
62,Nigeria,2020-11-14,9.605231866825306
63,Zambia,2020-11-14,0.0
64,Venezuela,2020-11-14,28.0
65,Iran,2020-11-14,3206.0
66,Brazil,2020-11-14,3192.0
67,Bhutan,2020-11-14,0.0
68,Saudi Arabia,2020-11-14,112.0
69,Fiji,2020-11-14,0.0
70,United Arab Emirates,2020-11-14,14.0
71,Central African Republic,2020-11-14,0.0
72,Laos,2020-11-14,0.0
73,Belize,2020-11-14,14.0
74,Estonia,2020-11-14,0.0
75,Singapore,2020-11-14,0.0
76,Bahamas,2020-11-14,0.0
77,Bolivia,2020-11-14,49.0
78,Costa Rica,2020-11-14,77.0
79,Poland,2020-11-14,2310.0
80,Chile,2020-11-14,273.0
81,India,2020-11-14,3584.0
82,Kuwait,2020-11-14,28.0
83,Guinea-Bissau,2020-11-14,0.0
84,Azerbaijan,2020-11-14,126.0
85,US,2020-11-14,8519.0
86,Latvia,2020-11-14,14.0
87,Djibouti,2020-11-14,0.0
88,Sao Tome and Principe,2020-11-14,0.0
89,Norway,2020-11-14,0.0
90,Hungary,2020-11-14,693.0
91,West Bank and Gaza,2020-11-14,42.0
92,Yemen,2020-11-14,0.0
93,Morocco,2020-11-14,483.0
94,Belgium,2020-11-14,1379.0
95,Dominica,2020-11-14,0.0
96,Bosnia and Herzegovina,2020-11-14,343.0
97,Somalia,2020-11-14,0.0
98,Nicaragua,2020-11-14,0.0
99,Rwanda,2020-11-14,7.0
100,Argentina,2020-11-14,1841.0
101,Armenia,2020-11-14,203.0
102,Cameroon,2020-11-14,0.0
103,Guinea,2020-11-14,0.0
104,Eritrea,2020-11-14,0.0
105,Moldova,2020-11-14,133.0
106,Oman,2020-11-14,35.0
107,Barbados,2020-11-14,0.0
108,Russia,2020-11-14,2660.0
109,Congo (Kinshasa),2020-11-14,0.0
110,Burundi,2020-11-14,0.0
111,France,2020-11-14,91.0
112,Belarus,2020-11-14,35.0
113,South Sudan,2020-11-14,0.0
114,Denmark,2020-11-14,21.0
115,Uzbekistan,2020-11-14,14.0
116,Liechtenstein,2020-11-14,0.0
117,Italy,2020-11-14,3850.0
118,Montenegro,2020-11-14,49.0
119,Malta,2020-11-14,21.0
120,Ethiopia,2020-11-14,49.0
121,Canada,2020-11-14,399.0
122,Malawi,2020-11-14,0.0
123,Croatia,2020-11-14,266.0
124,Tunisia,2020-11-14,490.0
125,Greece,2020-11-14,287.0
126,Marshall Islands,2020-11-14,0.0
127,Ukraine,2020-11-14,1372.0
128,Brunei,2020-11-14,0.0
129,Sierra Leone,2020-11-14,0.0
130,Philippines,2020-11-14,273.0
131,Peru,2020-11-14,273.0
132,Romania,2020-11-14,910.0
133,Portugal,2020-11-14,441.0
134,Eswatini,2020-11-14,0.0
135,Cabo Verde,2020-11-14,0.0
136,Malaysia,2020-11-14,14.0
137,Equatorial Guinea,2020-11-14,0.0
138,Botswana,2020-11-14,0.0
139,Bangladesh,2020-11-14,126.0
140,Lesotho,2020-11-14,0.0
141,Japan,2020-11-14,49.0
142,Sweden,2020-11-14,175.0
143,Taiwan*,2020-11-14,0.0
144,Thailand,2020-11-14,0.0
145,San Marino,2020-11-14,0.0
146,Maldives,2020-11-14,0.0
147,Tanzania,2020-11-14,0.0
148,Libya,2020-11-14,91.0
149,Paraguay,2020-11-14,91.0
150,Cyprus,2020-11-14,7.0
151,Slovenia,2020-11-14,266.0
152,Antigua and Barbuda,2020-11-14,0.0
153,Mozambique,2020-11-14,0.0
154,China,2020-11-14,0.0
155,Saint Kitts and Nevis,2020-11-14,0.0
156,Benin,2020-11-14,0.0
157,Zimbabwe,2020-11-14,7.0
158,Netherlands,2020-11-14,525.0
159,El Salvador,2020-11-14,28.0
160,Georgia,2020-11-14,231.0
161,Haiti,2020-11-14,0.0
162,Australia,2020-11-14,0.0
163,Egypt,2020-11-14,84.0
164,Bahrain,2020-11-14,0.0
165,Tajikistan,2020-11-14,0.0
166,Kenya,2020-11-14,161.0
167,Burkina Faso,2020-11-14,0.0
168,South Africa,2020-11-14,420.0
169,Ireland,2020-11-14,14.0
170,Dominican Republic,2020-11-14,14.0
171,Panama,2020-11-14,70.0
172,Suriname,2020-11-14,0.0
173,Monaco,2020-11-14,0.0
174,Guyana,2020-11-14,0.0
175,Iceland,2020-11-14,7.0
176,Cuba,2020-11-14,0.0
177,Congo (Brazzaville),2020-11-14,0.0
178,Algeria,2020-11-14,105.0
179,Honduras,2020-11-14,105.0
180,Spain,2020-11-14,2156.0
181,Ecuador,2020-11-14,140.0
182,Sudan,2020-11-14,0.0
