,country,target_date,forecast
0,US,2021-11-05,485947.4607986659
1,Antigua and Barbuda,2021-11-05,7.652040179631513
2,Guatemala,2021-11-05,5292.241571968421
3,Summer Olympics 2020,2021-11-05,0.0
4,"Korea, South",2021-11-05,12915.033713557
5,Djibouti,2021-11-05,40.007268545376064
6,Dominica,2021-11-05,246.69641644656804
7,Venezuela,2021-11-05,6863.818943480612
8,Latvia,2021-11-05,20007.504864017566
9,Sierra Leone,2021-11-05,0.038439411227955134
10,Israel,2021-11-05,2763.5238967458718
11,Georgia,2021-11-05,23809.348925592843
12,Mozambique,2021-11-05,40.090183900116244
13,Singapore,2021-11-05,30439.33820940365
14,Saint Vincent and the Grenadines,2021-11-05,103.82947270546447
15,Zambia,2021-11-05,73.01226728441543
16,Kyrgyzstan,2021-11-05,829.8083326698106
17,Brazil,2021-11-05,71502.90243818983
18,Samoa,2021-11-05,0.0
19,Timor-Leste,2021-11-05,25.704537069643266
20,South Sudan,2021-11-05,102.23958462596966
21,Honduras,2021-11-05,1284.399892985355
22,Gambia,2021-11-05,5.765340386806201
23,Iraq,2021-11-05,7750.408862788463
24,Saint Kitts and Nevis,2021-11-05,16.207637704414083
25,Cyprus,2021-11-05,944.3689767356118
26,Italy,2021-11-05,35713.60973550193
27,Kazakhstan,2021-11-05,11281.793118913076
28,Bosnia and Herzegovina,2021-11-05,5236.23012033914
29,Madagascar,2021-11-05,0.11435268215427641
30,Monaco,2021-11-05,31.864200212821743
31,Kenya,2021-11-05,525.4563735021511
32,Namibia,2021-11-05,87.42827756050974
33,Micronesia,2021-11-05,0.0
34,Paraguay,2021-11-05,538.211061244423
35,Tunisia,2021-11-05,789.0108684847364
36,Colombia,2021-11-05,17791.05534731224
37,Sao Tome and Principe,2021-11-05,19.755930303062996
38,Malawi,2021-11-05,47.16815308153309
39,Sudan,2021-11-05,1083.743559052862
40,Bahamas,2021-11-05,124.72083362452759
41,Nepal,2021-11-05,3908.3256734464085
42,Bolivia,2021-11-05,1194.5405377091956
43,Cambodia,2021-11-05,465.84963528353546
44,Slovakia,2021-11-05,31385.40980342211
45,Ecuador,2021-11-05,1402.1501637620386
46,Saint Lucia,2021-11-05,93.52012647320225
47,Thailand,2021-11-05,56860.669964673696
48,Vietnam,2021-11-05,32392.85555447114
49,Guyana,2021-11-05,431.6209523688449
50,Palau,2021-11-05,0.1373954042181964
51,Croatia,2021-11-05,29258.13182881032
52,Seychelles,2021-11-05,158.65106639753867
53,Togo,2021-11-05,73.3422105506761
54,Guinea-Bissau,2021-11-05,0.3442161868979383
55,Australia,2021-11-05,10793.625708601176
56,Suriname,2021-11-05,632.6259322238402
57,Kuwait,2021-11-05,123.33978788217064
58,Tanzania,2021-11-05,70.26425109295815
59,El Salvador,2021-11-05,1862.1033366633346
60,Mongolia,2021-11-05,5965.859806568013
61,Tajikistan,2021-11-05,1.0697370598791167
62,Denmark,2021-11-05,15038.400935711106
63,Jamaica,2021-11-05,549.9333984815457
64,Kiribati,2021-11-05,0.0
65,Papua New Guinea,2021-11-05,2743.4305705182196
66,Niger,2021-11-05,57.19663291137658
67,Czechia,2021-11-05,39716.123634653864
68,Cabo Verde,2021-11-05,61.79529947195988
69,Grenada,2021-11-05,0.2763321355878361
70,Switzerland,2021-11-05,11379.447172730463
71,Barbados,2021-11-05,2600.4340971201163
72,Montenegro,2021-11-05,3690.7862624451227
73,Indonesia,2021-11-05,3397.5211272146553
74,Nicaragua,2021-11-05,20.557480149444018
75,Pakistan,2021-11-05,4409.252547033131
76,Andorra,2021-11-05,117.10897960494549
77,Peru,2021-11-05,5502.296605063602
78,Holy See,2021-11-05,0.0
79,Malta,2021-11-05,77.96340745369525
80,Canada,2021-11-05,13252.451091231545
81,Ethiopia,2021-11-05,2301.0825750249787
82,Belize,2021-11-05,1261.3216118812124
