,country,target_date,forecast
0,Saint Vincent and the Grenadines,2020-06-23,2.149408719378215
1,Angola,2020-06-23,42.02062421426197
2,Ghana,2020-06-23,1930.7352468026365
3,Eritrea,2020-06-23,100.80821288092443
4,Maldives,2020-06-23,191.40301980645017
5,India,2020-06-23,85636.3387190004
6,Kenya,2020-06-23,984.1437414410566
7,Bahrain,2020-06-23,4143.473200034605
8,Algeria,2020-06-23,733.6136999586088
9,France,2020-06-23,8614.28122958407
10,Mozambique,2020-06-23,300.05100873120614
11,Honduras,2020-06-23,3554.1904571630257
12,"Korea, South",2020-06-23,316.67327667284917
13,Dominican Republic,2020-06-23,3899.5706227595583
14,Montenegro,2020-06-23,2.0717231887035155
15,Belgium,2020-06-23,618.6069186293098
16,Iran,2020-06-23,19446.718773968983
17,Ethiopia,2020-06-23,1431.5136717537198
18,Albania,2020-06-23,494.9653027674699
19,Yemen,2020-06-23,473.2538977972566
20,Ireland,2020-06-23,96.02442314520522
21,Morocco,2020-06-23,605.5914105289376
22,Singapore,2020-06-23,1958.2621220499568
23,Kazakhstan,2020-06-23,3354.6507079028233
24,Finland,2020-06-23,33.284459829093066
25,Liberia,2020-06-23,140.26390652246846
26,Greece,2020-06-23,155.79499513765995
27,Cabo Verde,2020-06-23,220.5595948641361
28,United Kingdom,2020-06-23,7297.378755822836
29,Australia,2020-06-23,138.6083991582109
30,New Zealand,2020-06-23,0.8064435770436376
31,Jordan,2020-06-23,119.58727629544069
32,Malawi,2020-06-23,278.4383667688089
33,Peru,2020-06-23,34471.38024592673
34,Saint Kitts and Nevis,2020-06-23,0.0
35,Armenia,2020-06-23,4708.878831878894
36,Turkey,2020-06-23,11338.766870385589
37,Andorra,2020-06-23,21.09130154811635
38,Holy See,2020-06-23,0.0
39,El Salvador,2020-06-23,913.381857327875
40,Bahamas,2020-06-23,1.004653943301335
41,Colombia,2020-06-23,12305.008771555804
42,Croatia,2020-06-23,8.226096388442329
43,Chile,2020-06-23,46974.79625495424
44,Iraq,2020-06-23,11485.794707868044
45,Sierra Leone,2020-06-23,283.7944673192592
46,Uzbekistan,2020-06-23,1210.6484897078353
47,Switzerland,2020-06-23,165.98234504076754
48,Qatar,2020-06-23,9003.084696781894
49,Ukraine,2020-06-23,6040.330069112657
50,Canada,2020-06-23,1783.8536901919142
51,Cote d'Ivoire,2020-06-23,2165.717281086775
52,Dominica,2020-06-23,0.12740780669652807
53,Belarus,2020-06-23,4469.771008834265
54,Bangladesh,2020-06-23,26459.041942220065
55,Georgia,2020-06-23,140.19598487889232
56,Namibia,2020-06-23,0.6896550108843726
57,Taiwan*,2020-06-23,0.9408030088786745
58,Oman,2020-06-23,8160.954032382961
59,South Africa,2020-06-23,29314.762143367363
60,Tanzania,2020-06-23,0.0
61,Mauritius,2020-06-23,0.060017745834784364
62,Afghanistan,2020-06-23,4746.043740486133
63,Luxembourg,2020-06-23,34.497628826793516
64,San Marino,2020-06-23,1.862563532244053
65,Bhutan,2020-06-23,16.02022880376532
66,Kyrgyzstan,2020-06-23,673.3649604357597
67,Guinea,2020-06-23,377.0957295057324
68,Iceland,2020-06-23,3.8349575666559303
69,Equatorial Guinea,2020-06-23,0.20714737111711656
70,Fiji,2020-06-23,0.0
71,Antigua and Barbuda,2020-06-23,0.2946508226720894
72,Sweden,2020-06-23,10071.255947655714
73,Gabon,2020-06-23,1251.7081872403642
74,China,2020-06-23,254.8703264092619
75,Malta,2020-06-23,26.599951969777862
76,Bolivia,2020-06-23,7037.180434141112
77,Nigeria,2020-06-23,4841.773849817615
78,Norway,2020-06-23,72.08056494121229
79,Mongolia,2020-06-23,0.7281160388991168
80,Venezuela,2020-06-23,519.8489571523996
81,Slovakia,2020-06-23,29.328838261452802
82,Mali,2020-06-23,239.66053723984987
83,Laos,2020-06-23,0.0
84,Gambia,2020-06-23,2.013129618827108
85,Uruguay,2020-06-23,0.15565411547822805
86,Central African Republic,2020-06-23,590.343563256255
87,Senegal,2020-06-23,763.7091633637083
88,Comoros,2020-06-23,45.91858991491375
89,Philippines,2020-06-23,3468.367594797961
90,Sao Tome and Principe,2020-06-23,129.16699180635032
91,Barbados,2020-06-23,4.487440535231215
92,Belize,2020-06-23,0.8843325311128645
93,Burundi,2020-06-23,21.12040175045803
94,Jamaica,2020-06-23,31.089104374459566
95,Germany,2020-06-23,1456.6797676548595
96,Paraguay,2020-06-23,142.79269454574933
97,Brazil,2020-06-23,196742.26814991038
98,Guinea-Bissau,2020-06-23,147.29260194405038
99,Ecuador,2020-06-23,5373.6177493780415
100,Brunei,2020-06-23,0.0
101,Indonesia,2020-06-23,9084.98336222372
102,Cuba,2020-06-23,70.3669960990901
103,Czechia,2020-06-23,346.3448253128372
104,Niger,2020-06-23,64.45057234674346
105,Zambia,2020-06-23,237.11055640184827
106,Spain,2020-06-23,2619.5612923697045
107,Eswatini,2020-06-23,202.3893484869593
108,Saudi Arabia,2020-06-23,34795.67205546089
109,Cameroon,2020-06-23,2465.83457182486
110,Bulgaria,2020-06-23,678.0324109563089
