,country,target_date,target
0,Morocco,2021-09-01,42140.0
1,Bulgaria,2021-09-01,12131.0
2,Liberia,2021-09-01,0.0
3,Tajikistan,2021-09-01,273.0
4,Timor-Leste,2021-09-01,1813.0
5,Congo (Brazzaville),2021-09-01,0.0
6,France,2021-09-01,95410.0
7,Taiwan*,2021-09-01,49.0
8,Albania,2021-09-01,6335.0
9,Tunisia,2021-09-01,15855.0
10,Vanuatu,2021-09-01,0.0
11,Ireland,2021-09-01,12523.0
12,Djibouti,2021-09-01,49.0
13,Eritrea,2021-09-01,7.0
14,China,2021-09-01,245.0
15,Benin,2021-09-01,0.0
16,Costa Rica,2021-09-01,18942.0
17,Belgium,2021-09-01,16338.0
18,South Sudan,2021-09-01,70.0
19,Latvia,2021-09-01,1372.0
20,Dominica,2021-09-01,0.0
21,Saint Lucia,2021-09-01,448.0
22,Iceland,2021-09-01,497.0
23,Trinidad and Tobago,2021-09-01,1484.0
24,Kazakhstan,2021-09-01,37380.0
25,Monaco,2021-09-01,49.0
26,Sri Lanka,2021-09-01,32172.0
27,Paraguay,2021-09-01,511.0
28,Czechia,2021-09-01,1491.0
29,Suriname,2021-09-01,1610.0
30,San Marino,2021-09-01,0.0
31,Kuwait,2021-09-01,1288.0
32,Switzerland,2021-09-01,19348.0
33,Sierra Leone,2021-09-01,0.0
34,Micronesia,2021-09-01,0.0
35,Armenia,2021-09-01,3668.0
36,Comoros,2021-09-01,21.0
37,Kiribati,2021-09-01,0.0
38,Uganda,2021-09-01,1120.0
39,Luxembourg,2021-09-01,616.0
40,Seychelles,2021-09-01,0.0
41,Germany,2021-09-01,58765.0
42,Bolivia,2021-09-01,2884.0
43,Indonesia,2021-09-01,72359.0
44,New Zealand,2021-09-01,490.0
45,Angola,2021-09-01,1309.0
46,Qatar,2021-09-01,1281.0
47,Senegal,2021-09-01,637.0
48,Grenada,2021-09-01,203.0
49,Kosovo,2021-09-01,13237.0
50,Guatemala,2021-09-01,31346.0
51,Mexico,2021-09-01,121359.0
52,Belarus,2021-09-01,10857.0
53,Egypt,2021-09-01,1785.0
54,Canada,2021-09-01,23940.0
55,Eswatini,2021-09-01,1785.0
56,Botswana,2021-09-01,0.0
57,Zambia,2021-09-01,1323.0
58,US,2021-09-01,1129338.0
59,Brunei,2021-09-01,574.0
60,Russia,2021-09-01,131586.0
61,Lesotho,2021-09-01,0.0
62,Nigeria,2021-09-01,4326.0
63,Bahrain,2021-09-01,686.0
64,Cuba,2021-09-01,46263.0
65,Venezuela,2021-09-01,6671.0
66,Holy See,2021-09-01,0.0
67,Pakistan,2021-09-01,27363.0
68,Chile,2021-09-01,4165.0
69,Niger,2021-09-01,42.0
70,Ethiopia,2021-09-01,9268.0
71,Somalia,2021-09-01,469.0
