,country,target_date,target
0,Peru,2021-03-05,41594.0
1,Burkina Faso,2021-03-05,168.0
2,Uzbekistan,2021-03-05,245.0
3,Portugal,2021-03-05,5810.0
4,Paraguay,2021-03-05,7574.0
5,Vietnam,2021-03-05,42.0
6,Germany,2021-03-05,53697.0
7,Marshall Islands,2021-03-05,0.0
8,Nigeria,2021-03-05,2597.0
9,Timor-Leste,2021-03-05,0.0
10,El Salvador,2021-03-05,0.0
11,Jamaica,2021-03-05,2352.0
12,Belgium,2021-03-05,18501.0
13,Georgia,2021-03-05,2520.0
14,Sri Lanka,2021-03-05,2492.0
15,United Arab Emirates,2021-03-05,19194.0
16,Norway,2021-03-05,3990.0
17,Comoros,2021-03-05,14.0
18,Senegal,2021-03-05,1484.0
19,Ghana,2021-03-05,0.0
20,Syria,2021-03-05,385.0
21,Namibia,2021-03-05,1316.0
22,Guinea-Bissau,2021-03-05,63.0
23,Cabo Verde,2021-03-05,441.0
24,Sao Tome and Principe,2021-03-05,175.0
25,Armenia,2021-03-05,1981.0
26,Poland,2021-03-05,84679.0
27,Uganda,2021-03-05,126.0
28,Mauritius,2021-03-05,0.0
29,Turkey,2021-03-05,79114.0
30,Netherlands,2021-03-05,32823.0
31,Equatorial Guinea,2021-03-05,0.0
32,Benin,2021-03-05,0.0
33,Morocco,2021-03-05,2758.0
34,Bulgaria,2021-03-05,15386.0
35,Dominica,2021-03-05,0.0
36,Hungary,2021-03-05,31283.0
37,Bangladesh,2021-03-05,4095.0
38,Kosovo,2021-03-05,0.0
39,US,2021-03-05,440230.0
40,Chile,2021-03-05,31423.0
41,Slovakia,2021-03-05,16961.0
42,Russia,2021-03-05,78638.0
43,Romania,2021-03-05,27650.0
44,Eritrea,2021-03-05,63.0
45,Guinea,2021-03-05,532.0
46,Venezuela,2021-03-05,3003.0
47,Kazakhstan,2021-03-05,5943.0
48,Togo,2021-03-05,735.0
49,Angola,2021-03-05,287.0
50,Iran,2021-03-05,58828.0
51,Brazil,2021-03-05,431214.0
52,Trinidad and Tobago,2021-03-05,21.0
53,Philippines,2021-03-05,14735.0
54,Croatia,2021-03-05,3640.0
55,Brunei,2021-03-05,0.0
56,Kenya,2021-03-05,2317.0
57,Singapore,2021-03-05,84.0
58,Iraq,2021-03-05,32830.0
59,Zambia,2021-03-05,3885.0
60,South Africa,2021-03-05,9191.0
61,Rwanda,2021-03-05,707.0
62,Nepal,2021-03-05,567.0
63,Gambia,2021-03-05,0.0
64,Italy,2021-03-05,132314.0
65,Japan,2021-03-05,7903.0
66,Austria,2021-03-05,16268.0
67,South Sudan,2021-03-05,938.0
68,Ecuador,2021-03-05,9345.0
69,Honduras,2021-03-05,3850.0
70,Libya,2021-03-05,5880.0
71,Tajikistan,2021-03-05,0.0
72,Cuba,2021-03-05,5649.0
73,Pakistan,2021-03-05,9744.0
74,Dominican Republic,2021-03-05,4256.0
75,Bahrain,2021-03-05,4515.0
76,Iceland,2021-03-05,7.0
77,Albania,2021-03-05,5957.0
78,"Korea, South",2021-03-05,2786.0
79,Lebanon,2021-03-05,21700.0
80,Samoa,2021-03-05,0.0
81,Burundi,2021-03-05,112.0
82,Mali,2021-03-05,168.0
83,Vanuatu,2021-03-05,0.0
84,Mexico,2021-03-05,50722.0
85,Bosnia and Herzegovina,2021-03-05,4347.0
86,Sudan,2021-03-05,217.0
87,Montenegro,2021-03-05,3969.0
88,United Kingdom,2021-03-05,44877.0
89,San Marino,2021-03-05,266.0
90,Ethiopia,2021-03-05,7042.0
91,West Bank and Gaza,2021-03-05,12782.0
92,Saint Lucia,2021-03-05,77.0
93,Panama,2021-03-05,3780.0
94,Antigua and Barbuda,2021-03-05,28.0
95,Egypt,2021-03-05,4102.0
96,Latvia,2021-03-05,4522.0
97,Canada,2021-03-05,19488.0
98,Israel,2021-03-05,27454.0
99,Central African Republic,2021-03-05,0.0
100,Sweden,2021-03-05,33817.0
101,Ireland,2021-03-05,3913.0
102,Lesotho,2021-03-05,7.0
103,Luxembourg,2021-03-05,1302.0
104,Eswatini,2021-03-05,182.0
105,Bhutan,2021-03-05,0.0
106,Madagascar,2021-03-05,0.0
107,Holy See,2021-03-05,0.0
108,Cote d'Ivoire,2021-03-05,1071.0
109,India,2021-03-05,117264.0
110,Uruguay,2021-03-05,5740.0
111,Tanzania,2021-03-05,0.0
112,Saint Kitts and Nevis,2021-03-05,0.0
113,Indonesia,2021-03-05,46760.0
114,Laos,2021-03-05,0.0
115,Oman,2021-03-05,2506.0
116,Belarus,2021-03-05,9177.0
117,Burma,2021-03-05,112.0
118,Malta,2021-03-05,1841.0
119,Malaysia,2021-03-05,14441.0
120,Australia,2021-03-05,56.0
121,Somalia,2021-03-05,945.0
122,Saudi Arabia,2021-03-05,2317.0
123,Botswana,2021-03-05,0.0
124,Bolivia,2021-03-05,5530.0
125,Afghanistan,2021-03-05,77.0
126,Argentina,2021-03-05,46571.0
127,Papua New Guinea,2021-03-05,0.0
128,Slovenia,2021-03-05,6160.0
129,Malawi,2021-03-05,567.0
130,Cameroon,2021-03-05,0.0
131,Grenada,2021-03-05,0.0
132,Sierra Leone,2021-03-05,14.0
133,Ukraine,2021-03-05,51478.0
134,Thailand,2021-03-05,378.0
135,Barbados,2021-03-05,210.0
136,Mongolia,2021-03-05,308.0
137,Liechtenstein,2021-03-05,14.0
138,Bahamas,2021-03-05,0.0
139,Kyrgyzstan,2021-03-05,336.0
140,Serbia,2021-03-05,27062.0
141,Fiji,2021-03-05,0.0
142,Switzerland,2021-03-05,8554.0
143,Jordan,2021-03-05,35868.0
144,Costa Rica,2021-03-05,2632.0
145,Gabon,2021-03-05,0.0
146,Moldova,2021-03-05,10626.0
147,Spain,2021-03-05,42259.0
148,Denmark,2021-03-05,3647.0
149,Kuwait,2021-03-05,9387.0
150,Maldives,2021-03-05,1155.0
151,Czechia,2021-03-05,102998.0
152,Congo (Brazzaville),2021-03-05,0.0
153,France,2021-03-05,164549.0
154,Congo (Kinshasa),2021-03-05,651.0
155,Monaco,2021-03-05,77.0
156,Djibouti,2021-03-05,56.0
157,Chad,2021-03-05,91.0
158,Algeria,2021-03-05,1141.0
159,Niger,2021-03-05,0.0
160,Liberia,2021-03-05,0.0
161,Greece,2021-03-05,15267.0
162,Tunisia,2021-03-05,4557.0
163,Cyprus,2021-03-05,2016.0
164,Solomon Islands,2021-03-05,0.0
165,Colombia,2021-03-05,24885.0
166,Finland,2021-03-05,4515.0
167,Estonia,2021-03-05,9919.0
168,Mauritania,2021-03-05,105.0
169,Seychelles,2021-03-05,266.0
170,Haiti,2021-03-05,126.0
171,Andorra,2021-03-05,161.0
172,Qatar,2021-03-05,3283.0
173,Belize,2021-03-05,42.0
174,Taiwan*,2021-03-05,7.0
175,Guatemala,2021-03-05,4382.0
176,Nicaragua,2021-03-05,0.0
177,North Macedonia,2021-03-05,5047.0
178,Zimbabwe,2021-03-05,217.0
179,Lithuania,2021-03-05,3682.0
180,Azerbaijan,2021-03-05,2198.0
181,Guyana,2021-03-05,217.0
182,Micronesia,2021-03-05,0.0
183,Mozambique,2021-03-05,3367.0
184,Cambodia,2021-03-05,168.0
185,Saint Vincent and the Grenadines,2021-03-05,0.0
186,China,2021-03-05,168.0
187,Yemen,2021-03-05,147.0
188,Suriname,2021-03-05,42.0
189,New Zealand,2021-03-05,28.0
