,country,target_date,target
0,Morocco,2021-07-12,8750.0
1,Bulgaria,2021-07-12,420.0
2,Liberia,2021-07-12,154.0
3,Tajikistan,2021-07-12,238.0
4,Timor-Leste,2021-07-12,371.0
5,Congo (Brazzaville),2021-07-12,0.0
6,France,2021-07-12,29792.0
7,Taiwan*,2021-07-12,217.0
8,Albania,2021-07-12,49.0
9,Tunisia,2021-07-12,58205.0
10,Vanuatu,2021-07-12,0.0
11,Ireland,2021-07-12,4004.0
12,Djibouti,2021-07-12,7.0
13,Eritrea,2021-07-12,126.0
14,China,2021-07-12,189.0
15,Benin,2021-07-12,0.0
16,Costa Rica,2021-07-12,8953.0
17,Belgium,2021-07-12,8561.0
18,South Sudan,2021-07-12,0.0
19,Latvia,2021-07-12,252.0
20,Dominica,2021-07-12,0.0
21,Saint Lucia,2021-07-12,77.0
22,Iceland,2021-07-12,0.0
23,Trinidad and Tobago,2021-07-12,1225.0
24,Kazakhstan,2021-07-12,21343.0
25,Monaco,2021-07-12,28.0
26,Sri Lanka,2021-07-12,10549.0
27,Paraguay,2021-07-12,8806.0
28,Czechia,2021-07-12,1183.0
29,Suriname,2021-07-12,868.0
30,San Marino,2021-07-12,0.0
31,Kuwait,2021-07-12,11319.0
32,Switzerland,2021-07-12,1918.0
33,Sierra Leone,2021-07-12,196.0
34,Micronesia,2021-07-12,0.0
35,Armenia,2021-07-12,980.0
36,Comoros,2021-07-12,28.0
37,Kiribati,2021-07-12,0.0
38,Uganda,2021-07-12,3654.0
39,Luxembourg,2021-07-12,917.0
40,Seychelles,2021-07-12,0.0
41,Germany,2021-07-12,5663.0
42,Bolivia,2021-07-12,10318.0
43,Indonesia,2021-07-12,253379.0
44,New Zealand,2021-07-12,7.0
45,Angola,2021-07-12,679.0
46,Qatar,2021-07-12,791.0
47,Senegal,2021-07-12,2492.0
48,Grenada,2021-07-12,0.0
49,Kosovo,2021-07-12,56.0
50,Guatemala,2021-07-12,20678.0
51,Mexico,2021-07-12,59549.0
52,Belarus,2021-07-12,7140.0
53,Egypt,2021-07-12,889.0
54,Canada,2021-07-12,3269.0
55,Eswatini,2021-07-12,819.0
56,Botswana,2021-07-12,0.0
57,Zambia,2021-07-12,11333.0
58,US,2021-07-12,160517.0
59,Brunei,2021-07-12,0.0
60,Russia,2021-07-12,171808.0
61,Lesotho,2021-07-12,28.0
62,Nigeria,2021-07-12,770.0
63,Bahrain,2021-07-12,784.0
64,Cuba,2021-07-12,44954.0
65,Venezuela,2021-07-12,7231.0
66,Holy See,2021-07-12,0.0
67,Pakistan,2021-07-12,12656.0
68,Chile,2021-07-12,16226.0
69,Niger,2021-07-12,21.0
70,Ethiopia,2021-07-12,609.0
71,Somalia,2021-07-12,0.0
72,North Macedonia,2021-07-12,91.0
73,Argentina,2021-07-12,104923.0
74,Cabo Verde,2021-07-12,287.0
75,Cameroon,2021-07-12,0.0
76,Gabon,2021-07-12,0.0
77,Dominican Republic,2021-07-12,4879.0
78,Singapore,2021-07-12,70.0
79,Rwanda,2021-07-12,5810.0
80,Fiji,2021-07-12,5047.0
81,Cyprus,2021-07-12,6174.0
82,Burundi,2021-07-12,161.0
83,Colombia,2021-07-12,162925.0
84,Serbia,2021-07-12,721.0
85,Japan,2021-07-12,15260.0
86,Sudan,2021-07-12,0.0
87,Andorra,2021-07-12,203.0
88,Gambia,2021-07-12,0.0
89,Togo,2021-07-12,245.0
90,United Arab Emirates,2021-07-12,10703.0
91,Thailand,2021-07-12,60592.0
92,Cote d'Ivoire,2021-07-12,322.0
93,Nepal,2021-07-12,10353.0
94,India,2021-07-12,299362.0
95,Madagascar,2021-07-12,56.0
96,Laos,2021-07-12,483.0
97,Saint Kitts and Nevis,2021-07-12,35.0
98,Cambodia,2021-07-12,6678.0
99,Samoa,2021-07-12,0.0
100,Italy,2021-07-12,9702.0
101,Sweden,2021-07-12,1575.0
102,Guyana,2021-07-12,539.0
103,Burkina Faso,2021-07-12,7.0
104,Zimbabwe,2021-07-12,15092.0
105,Ukraine,2021-07-12,6951.0
106,Nicaragua,2021-07-12,0.0
107,Poland,2021-07-12,595.0
108,Antigua and Barbuda,2021-07-12,0.0
109,South Africa,2021-07-12,149989.0
110,Honduras,2021-07-12,6510.0
111,Malta,2021-07-12,672.0
112,Guinea,2021-07-12,315.0
113,Summer Olympics 2020,2021-07-12,0.0
114,Spain,2021-07-12,121219.0
115,Brazil,2021-07-12,376075.0
116,Mozambique,2021-07-12,10206.0
117,Israel,2021-07-12,2989.0
118,Mauritania,2021-07-12,637.0
119,Mongolia,2021-07-12,19194.0
120,Sao Tome and Principe,2021-07-12,7.0
121,Ecuador,2021-07-12,6321.0
122,Yemen,2021-07-12,21.0
123,Guinea-Bissau,2021-07-12,49.0
124,Iran,2021-07-12,120484.0
125,Bhutan,2021-07-12,63.0
126,Saint Vincent and the Grenadines,2021-07-12,7.0
127,Kenya,2021-07-12,3164.0
128,Solomon Islands,2021-07-12,0.0
129,Denmark,2021-07-12,4445.0
130,Australia,2021-07-12,448.0
131,Saudi Arabia,2021-07-12,8239.0
132,Moldova,2021-07-12,497.0
133,Croatia,2021-07-12,616.0
134,Romania,2021-07-12,273.0
135,Mali,2021-07-12,14.0
136,Panama,2021-07-12,8120.0
137,Burma,2021-07-12,28924.0
138,Turkey,2021-07-12,36684.219325842336
139,Central African Republic,2021-07-12,0.0
140,Bosnia and Herzegovina,2021-07-12,0.0
141,Montenegro,2021-07-12,154.0
142,Congo (Kinshasa),2021-07-12,1841.0
143,Norway,2021-07-12,1190.0
144,Algeria,2021-07-12,5376.0
145,Philippines,2021-07-12,38325.0
146,Afghanistan,2021-07-12,10311.0
147,Iraq,2021-07-12,61439.0
148,Palau,2021-07-12,0.0
149,Jamaica,2021-07-12,364.0
150,Uruguay,2021-07-12,4228.0
151,Estonia,2021-07-12,294.0
152,Liechtenstein,2021-07-12,14.0
153,Finland,2021-07-12,1806.0
154,Georgia,2021-07-12,7756.0
155,Chad,2021-07-12,0.0
156,Vietnam,2021-07-12,12586.0
157,"Korea, South",2021-07-12,8925.0
158,Slovenia,2021-07-12,483.0
159,Portugal,2021-07-12,22134.0
160,Jordan,2021-07-12,3871.0
161,Maldives,2021-07-12,637.0
162,Peru,2021-07-12,16618.0
163,Bahamas,2021-07-12,0.0
164,Barbados,2021-07-12,70.0
165,Uzbekistan,2021-07-12,3374.0
166,Austria,2021-07-12,1113.0
167,Hungary,2021-07-12,308.0
168,Mauritius,2021-07-12,0.0
169,Ghana,2021-07-12,1113.0
170,Bangladesh,2021-07-12,80675.0
171,Syria,2021-07-12,126.0
172,Marshall Islands,2021-07-12,0.0
173,Malawi,2021-07-12,2163.0
174,Oman,2021-07-12,10171.0
175,Equatorial Guinea,2021-07-12,0.0
176,Belize,2021-07-12,224.0
177,Tanzania,2021-07-12,0.0
178,Libya,2021-07-12,9688.0
179,Netherlands,2021-07-12,48720.0
180,Slovakia,2021-07-12,231.0
181,El Salvador,2021-07-12,0.0
182,Kyrgyzstan,2021-07-12,9065.0
183,Lebanon,2021-07-12,2289.0
184,Haiti,2021-07-12,0.0
185,Azerbaijan,2021-07-12,889.0
186,Papua New Guinea,2021-07-12,0.0
187,Malaysia,2021-07-12,62076.0
188,Greece,2021-07-12,14427.0
189,Namibia,2021-07-12,9604.0
190,United Kingdom,2021-07-12,224427.0
191,West Bank and Gaza,2021-07-12,448.0
192,Lithuania,2021-07-12,280.0
