,country,target_date,target
0,Morocco,2021-09-02,37681.0
1,Bulgaria,2021-09-02,11991.0
2,Liberia,2021-09-02,0.0
3,Tajikistan,2021-09-02,273.0
4,Timor-Leste,2021-09-02,1694.0
5,Congo (Brazzaville),2021-09-02,0.0
6,France,2021-09-02,95410.0
7,Taiwan*,2021-09-02,42.0
8,Albania,2021-09-02,6335.0
9,Tunisia,2021-09-02,15155.0
10,Vanuatu,2021-09-02,0.0
11,Ireland,2021-09-02,11901.812587813125
12,Djibouti,2021-09-02,49.0
13,Eritrea,2021-09-02,0.0
14,China,2021-09-02,210.0
15,Benin,2021-09-02,0.0
16,Costa Rica,2021-09-02,19509.0
17,Belgium,2021-09-02,15428.0
18,South Sudan,2021-09-02,63.0
19,Latvia,2021-09-02,1659.0
20,Dominica,2021-09-02,0.0
21,Saint Lucia,2021-09-02,448.0
22,Iceland,2021-09-02,469.0
23,Trinidad and Tobago,2021-09-02,1295.0
24,Kazakhstan,2021-09-02,37016.0
25,Monaco,2021-09-02,56.0
26,Sri Lanka,2021-09-02,32137.0
27,Paraguay,2021-09-02,511.0
28,Czechia,2021-09-02,1491.0
29,Suriname,2021-09-02,1638.0
30,San Marino,2021-09-02,49.0
31,Kuwait,2021-09-02,1176.0
32,Switzerland,2021-09-02,19348.0
33,Sierra Leone,2021-09-02,0.0
34,Micronesia,2021-09-02,0.0
35,Armenia,2021-09-02,3668.0
36,Comoros,2021-09-02,21.0
37,Kiribati,2021-09-02,0.0
38,Uganda,2021-09-02,1120.0
39,Luxembourg,2021-09-02,539.0
40,Seychelles,2021-09-02,329.0
41,Germany,2021-09-02,58765.0
42,Bolivia,2021-09-02,2884.0
43,Indonesia,2021-09-02,70350.0
44,New Zealand,2021-09-02,532.0
45,Angola,2021-09-02,1421.0
46,Qatar,2021-09-02,1253.0
47,Senegal,2021-09-02,595.0
48,Grenada,2021-09-02,280.0
49,Kosovo,2021-09-02,11410.0
50,Guatemala,2021-09-02,26796.0
51,Mexico,2021-09-02,121359.0
52,Belarus,2021-09-02,11452.0
53,Egypt,2021-09-02,1841.0
54,Canada,2021-09-02,26460.0
55,Eswatini,2021-09-02,1652.0
56,Botswana,2021-09-02,0.0
57,Zambia,2021-09-02,1281.0
58,US,2021-09-02,1072001.0
59,Brunei,2021-09-02,714.0
60,Russia,2021-09-02,130137.0
61,Lesotho,2021-09-02,0.0
62,Nigeria,2021-09-02,4326.0
63,Bahrain,2021-09-02,665.0
64,Cuba,2021-09-02,44394.0
65,Venezuela,2021-09-02,6671.0
66,Holy See,2021-09-02,0.0
67,Pakistan,2021-09-02,26866.0
68,Chile,2021-09-02,4025.0
69,Niger,2021-09-02,42.0
70,Ethiopia,2021-09-02,9268.0
71,Somalia,2021-09-02,644.0
72,North Macedonia,2021-09-02,6090.0
73,Argentina,2021-09-02,37296.0
74,Cabo Verde,2021-09-02,560.0
75,Cameroon,2021-09-02,0.0
76,Gabon,2021-09-02,0.0
77,Dominican Republic,2021-09-02,2065.0
78,Singapore,2021-09-02,1260.0
79,Rwanda,2021-09-02,3626.0
80,Fiji,2021-09-02,1806.0
81,Cyprus,2021-09-02,1792.0
82,Burundi,2021-09-02,0.0
83,Colombia,2021-09-02,13972.0
84,Serbia,2021-09-02,17038.0
85,Japan,2021-09-02,135870.0
86,Sudan,2021-09-02,7.0
87,Andorra,2021-09-02,42.0
88,Gambia,2021-09-02,0.0
89,Togo,2021-09-02,1267.0
90,United Arab Emirates,2021-09-02,6951.0
91,Thailand,2021-09-02,115752.0
92,Cote d'Ivoire,2021-09-02,2030.0
93,Nepal,2021-09-02,11039.0
94,India,2021-09-02,300363.0
95,Madagascar,2021-09-02,21.0
96,Laos,2021-09-02,1225.0
97,Saint Kitts and Nevis,2021-09-02,203.0
98,Cambodia,2021-09-02,2912.0
99,Samoa,2021-09-02,0.0
100,Italy,2021-09-02,45472.0
101,Sweden,2021-09-02,7728.0
102,Guyana,2021-09-02,1015.0
103,Burkina Faso,2021-09-02,35.0
104,Zimbabwe,2021-09-02,1106.0
105,Ukraine,2021-09-02,17416.0
106,Nicaragua,2021-09-02,0.0
107,Poland,2021-09-02,1995.0
108,Antigua and Barbuda,2021-09-02,91.0
109,South Africa,2021-09-02,64414.0
110,Honduras,2021-09-02,10556.0
111,Malta,2021-09-02,343.0
112,Guinea,2021-09-02,280.0
113,Summer Olympics 2020,2021-09-02,84.0
114,Spain,2021-09-02,54369.0
115,Brazil,2021-09-02,172893.0
116,Mozambique,2021-09-02,2184.0
117,Israel,2021-09-02,69153.0
118,Mauritania,2021-09-02,1036.0
