,country,target_date,target
0,Peru,2020-12-21,8099.0
1,Burkina Faso,2020-12-21,1043.0
2,Uzbekistan,2020-12-21,917.0
3,Portugal,2020-12-21,26845.0
4,Paraguay,2020-12-21,5992.0
5,Vietnam,2020-12-21,14.0
6,Germany,2020-12-21,211253.0
7,Marshall Islands,2020-12-21,0.0
8,Nigeria,2020-12-21,5642.0
9,Timor-Leste,2020-12-21,0.0
10,El Salvador,2020-12-21,1855.0
11,Jamaica,2020-12-21,497.0
12,Belgium,2020-12-21,19047.0
13,Georgia,2020-12-21,20328.0
14,Sri Lanka,2020-12-21,4326.0
15,United Arab Emirates,2020-12-21,8778.0
16,Norway,2020-12-21,3017.0
17,Comoros,2020-12-21,0.0
18,Senegal,2020-12-21,777.0
19,Ghana,2020-12-21,812.0
20,Syria,2020-12-21,1050.0
21,Namibia,2020-12-21,2541.0
22,Guinea-Bissau,2020-12-21,0.0
23,Cabo Verde,2020-12-21,238.0
24,Sao Tome and Principe,2020-12-21,0.0
25,Armenia,2020-12-21,6027.0
26,Poland,2020-12-21,77070.0
27,Uganda,2020-12-21,3955.0
28,Mauritius,2020-12-21,0.0
29,Turkey,2020-12-21,184870.0
30,Netherlands,2020-12-21,84168.0
31,Equatorial Guinea,2020-12-21,0.0
32,Benin,2020-12-21,0.0
33,Morocco,2020-12-21,19432.0
34,Bulgaria,2020-12-21,12173.0
35,Dominica,2020-12-21,0.0
36,Hungary,2020-12-21,20769.0
37,Bangladesh,2020-12-21,9226.0
38,Kosovo,2020-12-21,2058.0
39,US,2020-12-21,1391362.0
40,Chile,2020-12-21,15337.0
41,Slovakia,2020-12-21,21315.0
42,Russia,2020-12-21,194509.0
43,Romania,2020-12-21,37380.0
44,Eritrea,2020-12-21,0.0
45,Guinea,2020-12-21,119.0
46,Venezuela,2020-12-21,2485.0
47,Kazakhstan,2020-12-21,5187.0
48,Togo,2020-12-21,140.0
49,Angola,2020-12-21,448.0
50,Iran,2020-12-21,49847.0
51,Brazil,2020-12-21,351239.0
52,Trinidad and Tobago,2020-12-21,119.0
53,Philippines,2020-12-21,10374.0
54,Croatia,2020-12-21,19264.0
55,Brunei,2020-12-21,0.0
56,Kenya,2020-12-21,2730.0
57,Singapore,2020-12-21,112.0
58,Iraq,2020-12-21,9534.0
59,Zambia,2020-12-21,364.0
60,South Africa,2020-12-21,63882.0
61,Rwanda,2020-12-21,595.0
62,Nepal,2020-12-21,5194.0
63,Gambia,2020-12-21,0.0
64,Italy,2020-12-21,107807.0
65,Japan,2020-12-21,19621.0
66,Austria,2020-12-21,16072.0
67,South Sudan,2020-12-21,0.0
68,Ecuador,2020-12-21,5278.0
69,Honduras,2020-12-21,2107.0
70,Libya,2020-12-21,4480.0
71,Tajikistan,2020-12-21,259.0
72,Cuba,2020-12-21,721.0
73,Pakistan,2020-12-21,18305.0
74,Dominican Republic,2020-12-21,5040.0
75,Bahrain,2020-12-21,1176.0
76,Iceland,2020-12-21,98.0
77,Albania,2020-12-21,4060.0
78,"Korea, South",2020-12-21,7385.0
79,Lebanon,2020-12-21,11382.0
80,Samoa,2020-12-21,0.0
81,Burundi,2020-12-21,42.0
82,Mali,2020-12-21,308.0
83,Vanuatu,2020-12-21,0.0
84,Mexico,2020-12-21,78596.0
85,Bosnia and Herzegovina,2020-12-21,5558.0
86,Sudan,2020-12-21,1414.0
87,Montenegro,2020-12-21,2415.0
88,United Kingdom,2020-12-21,199920.0
89,San Marino,2020-12-21,196.0
90,Ethiopia,2020-12-21,3248.0
91,West Bank and Gaza,2020-12-21,12999.0
92,Saint Lucia,2020-12-21,7.0
93,Panama,2020-12-21,20720.0
94,Antigua and Barbuda,2020-12-21,0.0
95,Egypt,2020-12-21,4053.0
96,Latvia,2020-12-21,6090.0
97,Canada,2020-12-21,45584.0
98,Israel,2020-12-21,19138.0
99,Central African Republic,2020-12-21,0.0
100,Sweden,2020-12-21,52892.0
101,Ireland,2020-12-21,3654.0
102,Lesotho,2020-12-21,210.0
103,Luxembourg,2020-12-21,3038.0
104,Eswatini,2020-12-21,763.0
105,Bhutan,2020-12-21,7.0
106,Madagascar,2020-12-21,0.0
107,Holy See,2020-12-21,0.0
108,Cote d'Ivoire,2020-12-21,315.0
109,India,2020-12-21,170359.0
110,Uruguay,2020-12-21,3437.0
111,Tanzania,2020-12-21,0.0
112,Saint Kitts and Nevis,2020-12-21,0.0
113,Indonesia,2020-12-21,47936.0
114,Laos,2020-12-21,0.0
115,Oman,2020-12-21,1288.0
116,Belarus,2020-12-21,13377.0
117,Burma,2020-12-21,7812.0
118,Malta,2020-12-21,616.0
119,Malaysia,2020-12-21,9380.0
120,Australia,2020-12-21,147.0
121,Somalia,2020-12-21,0.0
122,Saudi Arabia,2020-12-21,1176.0
123,Botswana,2020-12-21,0.0
124,Bolivia,2020-12-21,3157.0
125,Afghanistan,2020-12-21,1463.0
126,Argentina,2020-12-21,47901.0
127,Papua New Guinea,2020-12-21,0.0
128,Slovenia,2020-12-21,10584.0
129,Malawi,2020-12-21,70.0
130,Cameroon,2020-12-21,791.0
131,Grenada,2020-12-21,0.0
132,Sierra Leone,2020-12-21,63.0
133,Ukraine,2020-12-21,77399.0
134,Thailand,2020-12-21,140.0
135,Barbados,2020-12-21,14.0
136,Mongolia,2020-12-21,84.0
137,Liechtenstein,2020-12-21,245.0
138,Bahamas,2020-12-21,91.0
139,Kyrgyzstan,2020-12-21,1848.0
140,Serbia,2020-12-21,34370.0
141,Fiji,2020-12-21,0.0
142,Switzerland,2020-12-21,31346.0
143,Jordan,2020-12-21,15547.0
144,Costa Rica,2020-12-21,7588.0
145,Gabon,2020-12-21,0.0
146,Moldova,2020-12-21,9821.0
147,Spain,2020-12-21,77546.0
148,Denmark,2020-12-21,23030.0
149,Kuwait,2020-12-21,1708.0
150,Maldives,2020-12-21,112.0
151,Czechia,2020-12-21,53214.0
152,Congo (Brazzaville),2020-12-21,0.0
153,France,2020-12-21,112035.0
154,Congo (Kinshasa),2020-12-21,1113.0
155,Monaco,2020-12-21,56.0
156,Djibouti,2020-12-21,70.0
157,Chad,2020-12-21,126.0
158,Algeria,2020-12-21,3066.0
159,Niger,2020-12-21,364.0
160,Liberia,2020-12-21,0.0
161,Greece,2020-12-21,6307.0
162,Tunisia,2020-12-21,10752.0
163,Cyprus,2020-12-21,2373.0
164,Solomon Islands,2020-12-21,0.0
165,Colombia,2020-12-21,83671.0
166,Finland,2020-12-21,2443.0
