,country,target_date,target
0,Morocco,2021-08-26,50288.0
1,Bulgaria,2021-08-26,11207.0
2,Liberia,2021-08-26,0.0
3,Tajikistan,2021-08-26,0.0
4,Timor-Leste,2021-08-26,1967.0
5,Congo (Brazzaville),2021-08-26,0.0
6,France,2021-08-26,158459.0
7,Taiwan*,2021-08-26,56.0
8,Albania,2021-08-26,4606.0
9,Tunisia,2021-08-26,19775.0
10,Vanuatu,2021-08-26,0.0
11,Ireland,2021-08-26,13062.0
12,Djibouti,2021-08-26,21.0
13,Eritrea,2021-08-26,14.0
14,China,2021-08-26,217.0
15,Benin,2021-08-26,0.0
16,Costa Rica,2021-08-26,15610.0
17,Belgium,2021-08-26,15176.0
18,South Sudan,2021-08-26,112.0
19,Latvia,2021-08-26,1050.0
20,Dominica,2021-08-26,0.0
21,Saint Lucia,2021-08-26,847.0
22,Iceland,2021-08-26,511.0
23,Trinidad and Tobago,2021-08-26,1358.0
24,Kazakhstan,2021-08-26,47145.0
25,Monaco,2021-08-26,56.0
26,Sri Lanka,2021-08-26,31122.0
27,Paraguay,2021-08-26,861.0
28,Czechia,2021-08-26,1225.0
29,Suriname,2021-08-26,1127.0
30,San Marino,2021-08-26,0.0
31,Kuwait,2021-08-26,1379.0
32,Switzerland,2021-08-26,19677.0
33,Sierra Leone,2021-08-26,7.0
34,Micronesia,2021-08-26,0.0
35,Armenia,2021-08-26,3556.0
36,Comoros,2021-08-26,7.0
37,Kiribati,2021-08-26,0.0
38,Uganda,2021-08-26,728.0
39,Luxembourg,2021-08-26,602.0
40,Seychelles,2021-08-26,0.0
41,Germany,2021-08-26,62762.0
42,Bolivia,2021-08-26,4130.0
43,Indonesia,2021-08-26,118293.0
44,New Zealand,2021-08-26,266.0
45,Angola,2021-08-26,1393.0
46,Qatar,2021-08-26,1519.0
47,Senegal,2021-08-26,903.0
48,Grenada,2021-08-26,70.0
49,Kosovo,2021-08-26,15638.0
50,Guatemala,2021-08-26,34419.0
51,Mexico,2021-08-26,142149.0
52,Belarus,2021-08-26,9499.0
53,Egypt,2021-08-26,1323.0
54,Canada,2021-08-26,20986.0
55,Eswatini,2021-08-26,3339.0
56,Botswana,2021-08-26,0.0
57,Zambia,2021-08-26,1484.0
58,US,2021-08-26,1037001.0
59,Brunei,2021-08-26,854.0
60,Russia,2021-08-26,133658.0
61,Lesotho,2021-08-26,7.0
62,Nigeria,2021-08-26,4459.0
63,Bahrain,2021-08-26,679.0
64,Cuba,2021-08-26,66836.0
65,Venezuela,2021-08-26,7700.0
66,Holy See,2021-08-26,0.0
67,Pakistan,2021-08-26,27510.0
68,Chile,2021-08-26,4641.0
69,Niger,2021-08-26,56.0
70,Ethiopia,2021-08-26,8862.0
71,Somalia,2021-08-26,0.0
72,North Macedonia,2021-08-26,7567.0
73,Argentina,2021-08-26,47929.0
74,Cabo Verde,2021-08-26,364.0
75,Cameroon,2021-08-26,0.0
76,Gabon,2021-08-26,0.0
77,Dominican Republic,2021-08-26,1869.0
78,Singapore,2021-08-26,686.0
79,Rwanda,2021-08-26,3472.0
80,Fiji,2021-08-26,2121.0
81,Cyprus,2021-08-26,2177.0
82,Burundi,2021-08-26,0.0
83,Colombia,2021-08-26,18480.0
84,Serbia,2021-08-26,12859.0
85,Japan,2021-08-26,170219.0
86,Sudan,2021-08-26,63.0
87,Andorra,2021-08-26,14.0
88,Gambia,2021-08-26,217.0
89,Togo,2021-08-26,1911.0
90,United Arab Emirates,2021-08-26,7420.0
91,Thailand,2021-08-26,129507.0
92,Cote d'Ivoire,2021-08-26,1463.0
93,Nepal,2021-08-26,13034.0
94,India,2021-08-26,216636.0
95,Madagascar,2021-08-26,21.0
96,Laos,2021-08-26,2352.0
97,Saint Kitts and Nevis,2021-08-26,217.0
98,Cambodia,2021-08-26,3262.0
99,Samoa,2021-08-26,0.0
100,Italy,2021-08-26,50505.0
101,Sweden,2021-08-26,7126.0
102,Guyana,2021-08-26,1190.0
103,Burkina Faso,2021-08-26,70.0
104,Zimbabwe,2021-08-26,2233.0
105,Ukraine,2021-08-26,11130.0
106,Nicaragua,2021-08-26,0.0
107,Poland,2021-08-26,1505.0
108,Antigua and Barbuda,2021-08-26,182.0
109,South Africa,2021-08-26,89397.0
110,Honduras,2021-08-26,11767.0
111,Malta,2021-08-26,357.0
112,Guinea,2021-08-26,861.0
113,Summer Olympics 2020,2021-08-26,70.0
114,Spain,2021-08-26,70504.0
115,Brazil,2021-08-26,214697.0
116,Mozambique,2021-08-26,3052.0
117,Israel,2021-08-26,53242.0
118,Mauritania,2021-08-26,1512.0
119,Mongolia,2021-08-26,12887.0
120,Sao Tome and Principe,2021-08-26,63.0
121,Ecuador,2021-08-26,3045.0
122,Yemen,2021-08-26,287.0
123,Guinea-Bissau,2021-08-26,308.0
124,Iran,2021-08-26,257306.0
125,Bhutan,2021-08-26,0.0
126,Saint Vincent and the Grenadines,2021-08-26,0.0
127,Kenya,2021-08-26,8162.0
128,Solomon Islands,2021-08-26,0.0
129,Denmark,2021-08-26,6909.0
130,Australia,2021-08-26,6349.0
131,Saudi Arabia,2021-08-26,0.0
132,Moldova,2021-08-26,2849.0
133,Croatia,2021-08-26,3290.0
134,Romania,2021-08-26,4396.0
135,Mali,2021-08-26,56.0
136,Panama,2021-08-26,4298.0
137,Burma,2021-08-26,17542.0
138,Turkey,2021-08-26,135457.0
139,Central African Republic,2021-08-26,0.0
140,Bosnia and Herzegovina,2021-08-26,3731.0
141,Montenegro,2021-08-26,4438.0
142,Congo (Kinshasa),2021-08-26,623.0
143,Norway,2021-08-26,7651.0
144,Algeria,2021-08-26,3605.0
145,Philippines,2021-08-26,112784.0
146,Afghanistan,2021-08-26,434.0
147,Iraq,2021-08-26,50057.0
148,Palau,2021-08-26,0.0
149,Jamaica,2021-08-26,3892.0
150,Uruguay,2021-08-26,735.0
151,Estonia,2021-08-26,2317.0
152,Liechtenstein,2021-08-26,35.0
153,Finland,2021-08-26,4508.0
154,Georgia,2021-08-26,33201.0
155,Chad,2021-08-26,0.0
156,Vietnam,2021-08-26,79464.0
