location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,11892,6058,8078,9885,11892,13900,15707,17727,2021-10-16,day
BE,13720,12071,12642,13152,13720,14287,14797,15368,2021-10-16,day
BG,12748,8680,10088,11348,12748,14148,15408,16816,2021-10-16,day
CH,2823,0,0,0,2823,8060,12773,18041,2021-10-16,day
CY,693,0,0,250,693,1137,1537,1984,2021-10-16,day
CZ,4605,1982,2890,3702,4605,5508,6320,7228,2021-10-16,day
DE,50621,14522,27018,38199,50621,63044,74225,86721,2021-10-16,day
DK,3041,0,0,1004,3041,5079,6913,8963,2021-10-16,day
EE,4650,1891,2846,3701,4650,5600,6454,7409,2021-10-16,day
ES,11991,0,0,0,11991,25049,36801,49935,2021-10-16,day
FI,2454,1090,1562,1985,2454,2923,3346,3818,2021-10-16,day
FR,32378,0,0,7169,32378,57587,80276,105632,2021-10-16,day
GB,231663,143228,173839,201229,231663,262096,289487,320097,2021-10-16,day
GR,15447,11237,12694,13998,15447,16896,18200,19657,2021-10-16,day
HR,8436,2174,4342,6281,8436,10591,12531,14698,2021-10-16,day
HU,5042,1708,2862,3895,5042,6189,7222,8376,2021-10-16,day
IE,9244,7042,7804,8486,9244,10001,10683,11446,2021-10-16,day
IS,160,0,33,93,160,227,287,354,2021-10-16,day
IT,23323,6340,12219,17479,23323,29167,34428,40306,2021-10-16,day
LI,0,0,0,0,0,29,56,85,2021-10-16,day
LT,11702,180,4168,7737,11702,15667,19236,23225,2021-10-16,day
LU,577,482,515,544,577,610,639,672,2021-10-16,day
LV,6509,0,2071,4173,6509,8845,10947,13296,2021-10-16,day
MT,66,0,0,0,66,192,305,432,2021-10-16,day
NL,11701,2242,5516,8446,11701,14957,17887,21161,2021-10-16,day
NO,3802,0,0,1617,3802,5987,7954,10152,2021-10-16,day
PL,8341,1818,4076,6096,8341,10586,12606,14864,2021-10-16,day
PT,4444,0,0,724,4444,8164,11513,15254,2021-10-16,day
RO,1550,0,0,0,1550,58603,109952,167337,2021-10-16,day
SE,4639,3196,3695,4142,4639,5135,5582,6081,2021-10-16,day
SI,3411,0,0,0,3411,7155,10524,14290,2021-10-16,day
SK,6112,0,197,2999,6112,9225,12027,15158,2021-10-16,day
