location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,22708,15720,18139,20303,22708,25113,27278,29697,2021-04-24,day
BE,18748,18380,18507,18621,18748,18875,18989,19116,2021-04-24,day
BG,25104,21069,22466,23716,25104,26493,27743,29140,2021-04-24,day
CH,8723,8557,8615,8666,8723,8780,8831,8888,2021-04-24,day
CY,2458,1721,1976,2205,2458,2712,2940,3195,2021-04-24,day
CZ,61045,48088,52573,56586,61045,65504,69517,74002,2021-04-24,day
DE,106596,83452,91463,98631,106596,114561,121729,129740,2021-04-24,day
DK,3621,3551,3575,3597,3621,3645,3667,3691,2021-04-24,day
EE,7897,6652,7083,7468,7897,8325,8711,9142,2021-04-24,day
ES,14454,14179,14274,14359,14454,14548,14633,14729,2021-04-24,day
FI,4462,3487,3824,4126,4462,4797,5099,5437,2021-04-24,day
FR,228037,175741,193842,210040,228037,246034,262231,280333,2021-04-24,day
GB,38281,25748,30086,33968,38281,42594,46475,50813,2021-04-24,day
GR,16638,13849,14814,15678,16638,17598,18461,19427,2021-04-24,day
HR,7460,6167,6615,7015,7460,7905,8305,8752,2021-04-24,day
HU,66384,49520,55357,60580,66384,72187,77410,83247,2021-04-24,day
IE,4020,2756,3193,3585,4020,4455,4846,5284,2021-04-24,day
IS,35,33,34,35,35,36,37,37,2021-04-24,day
IT,161038,111723,128793,144067,161038,178009,193283,210353,2021-04-24,day
LI,18,18,18,18,18,18,18,19,2021-04-24,day
LT,3925,3851,3876,3900,3925,3951,3974,4000,2021-04-24,day
LU,1422,1233,1298,1357,1422,1487,1545,1611,2021-04-24,day
LV,3799,3178,3393,3585,3799,4013,4206,4421,2021-04-24,day
MT,1273,1103,1162,1215,1273,1332,1384,1443,2021-04-24,day
NL,46235,37182,40315,43119,46235,49350,52154,55287,2021-04-24,day
NO,6221,4529,5115,5639,6221,6804,7328,7913,2021-04-24,day
PL,187169,105490,133762,159060,187169,215277,240576,268847,2021-04-24,day
PT,7323,5778,6313,6791,7323,7855,8334,8868,2021-04-24,day
RO,36834,26912,30347,33420,36834,40248,43321,46755,2021-04-24,day
SE,32373,23591,26631,29351,32373,35395,38115,41155,2021-04-24,day
SI,5723,5609,5648,5684,5723,5762,5797,5836,2021-04-24,day
SK,11553,9366,10123,10800,11553,12305,12982,13739,2021-04-24,day
