location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,891,0,0,0,891,8902,16113,24171,2021-09-11,day
BE,29046,23099,25158,27000,29046,31093,32935,34993,2021-09-11,day
BG,49,0,0,0,49,7680,14549,22225,2021-09-11,day
CH,16320,0,0,1592,16320,31048,44304,59117,2021-09-11,day
CY,4089,545,1772,2869,4089,5309,6407,7634,2021-09-11,day
CZ,2762,2228,2413,2578,2762,2945,3111,3296,2021-09-11,day
DE,645,0,0,0,645,30318,57025,86871,2021-09-11,day
DK,13079,6738,8933,10897,13079,15262,17226,19421,2021-09-11,day
EE,4674,1962,2901,3741,4674,5607,6447,7386,2021-09-11,day
ES,59776,0,0,0,59776,127908,189228,257756,2021-09-11,day
FI,8187,0,2050,4957,8187,11416,14323,17572,2021-09-11,day
FR,241702,125216,165536,201615,241702,281788,317867,358187,2021-09-11,day
GB,448167,302364,352832,397991,448167,498342,543502,593969,2021-09-11,day
GR,46075,29783,35422,40469,46075,51682,56729,62368,2021-09-11,day
HR,166,0,0,0,166,2780,5133,7762,2021-09-11,day
HU,1357,555,833,1081,1357,1633,1882,2160,2021-09-11,day
IE,26199,12232,17066,21392,26199,31005,35331,40166,2021-09-11,day
IS,1109,342,607,845,1109,1373,1611,1876,2021-09-11,day
IT,94261,73617,80763,87157,94261,101366,107760,114905,2021-09-11,day
LI,0,0,0,0,0,63,120,183,2021-09-11,day
LT,8167,4229,5592,6812,8167,9522,10742,12105,2021-09-11,day
LU,1075,407,639,845,1075,1305,1512,1743,2021-09-11,day
LV,59,0,0,0,59,767,1403,2115,2021-09-11,day
MT,650,262,397,517,650,783,903,1037,2021-09-11,day
NL,15795,0,0,6108,15795,25482,34200,43943,2021-09-11,day
NO,145,0,0,0,145,5698,10697,16282,2021-09-11,day
PL,2993,1554,2052,2498,2993,3488,3934,4432,2021-09-11,day
PT,32153,29408,30358,31209,32153,33098,33949,34899,2021-09-11,day
RO,6440,0,0,2228,6440,10652,14443,18680,2021-09-11,day
SE,13904,1784,5979,9733,13904,18074,21828,26023,2021-09-11,day
SI,14,0,0,0,14,2389,4527,6916,2021-09-11,day
SK,1392,624,889,1127,1392,1656,1894,2160,2021-09-11,day
