location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,5119,2709,3544,4290,5119,5948,6695,7529,2021-08-14,day
BE,14209,11581,12490,13304,14209,15113,15927,16837,2021-08-14,day
BG,2266,0,430,1300,2266,3233,4103,5075,2021-08-14,day
CH,6158,5419,5675,5903,6158,6412,6641,6896,2021-08-14,day
CY,0,0,0,0,0,3996,7592,11611,2021-08-14,day
CZ,2712,575,1315,1977,2712,3448,4109,4849,2021-08-14,day
DE,20920,0,2100,11015,20920,30825,39740,49703,2021-08-14,day
DK,10422,7385,8436,9377,10422,11467,12408,13459,2021-08-14,day
EE,1245,0,166,677,1245,1813,2324,2896,2021-08-14,day
ES,87262,0,0,0,87262,181394,266116,360796,2021-08-14,day
FI,33,0,0,0,33,2153,4060,6192,2021-08-14,day
FR,37411,0,0,0,37411,144796,241446,349455,2021-08-14,day
GB,308200,0,81034,188641,308200,427759,535366,655621,2021-08-14,day
GR,19910,0,1445,10192,19910,29629,38376,48151,2021-08-14,day
HR,2184,464,1060,1592,2184,2776,3309,3904,2021-08-14,day
HU,886,436,592,731,886,1041,1181,1336,2021-08-14,day
IE,7242,0,196,3534,7242,10951,14289,18019,2021-08-14,day
IS,130,0,0,0,130,656,1129,1657,2021-08-14,day
IT,37684,8142,18368,27518,37684,47850,57001,67226,2021-08-14,day
LI,4,0,0,0,4,10,16,22,2021-08-14,day
LT,2217,266,941,1546,2217,2889,3494,4169,2021-08-14,day
LU,415,0,0,147,415,682,923,1192,2021-08-14,day
LV,919,238,474,685,919,1154,1365,1601,2021-08-14,day
MT,868,755,794,829,868,907,942,981,2021-08-14,day
NL,37465,0,0,0,37465,84900,127594,175305,2021-08-14,day
NO,2445,1299,1695,2050,2445,2839,3194,3591,2021-08-14,day
PL,1618,716,1028,1308,1618,1928,2208,2520,2021-08-14,day
PT,18869,3290,8683,13508,18869,24230,29055,34447,2021-08-14,day
RO,924,0,0,235,924,1612,2232,2925,2021-08-14,day
SE,4886,630,2103,3421,4886,6350,7668,9141,2021-08-14,day
SI,1206,626,827,1006,1206,1406,1585,1786,2021-08-14,day
SK,0,0,0,0,0,309,587,898,2021-08-14,day
