location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,5223,2667,3552,4344,5223,6103,6895,7780,2021-08-21,day
BE,16351,12408,13773,14994,16351,17708,18930,20295,2021-08-21,day
BG,3091,1135,1812,2418,3091,3764,4370,5047,2021-08-21,day
CH,7831,7147,7384,7596,7831,8067,8279,8516,2021-08-21,day
CY,4299,0,0,1565,4299,7033,9493,12243,2021-08-21,day
CZ,2211,333,983,1565,2211,2858,3439,4089,2021-08-21,day
DE,27628,0,6431,16472,27628,38785,48825,60047,2021-08-21,day
DK,7852,4391,5589,6661,7852,9043,10115,11313,2021-08-21,day
EE,1141,0,121,604,1141,1678,2161,2701,2021-08-21,day
ES,158665,37393,79369,116931,158665,200399,237961,279938,2021-08-21,day
FI,8838,2009,4372,6488,8838,11188,13303,15667,2021-08-21,day
FR,150210,0,0,30019,150210,270401,378577,499468,2021-08-21,day
GB,208117,99723,137242,170815,208117,245419,278992,316510,2021-08-21,day
GR,38655,21072,27158,32604,38655,44706,50153,56239,2021-08-21,day
HR,2497,628,1275,1854,2497,3140,3719,4366,2021-08-21,day
HU,878,419,577,720,878,1036,1178,1337,2021-08-21,day
IE,2898,0,0,0,2898,9315,15091,21545,2021-08-21,day
IS,14,0,0,0,14,818,1541,2350,2021-08-21,day
IT,17204,0,0,6175,17204,28232,38158,49251,2021-08-21,day
LI,28,17,21,24,28,32,36,40,2021-08-21,day
LT,2859,0,779,1764,2859,3954,4939,6040,2021-08-21,day
LU,340,0,0,130,340,549,738,949,2021-08-21,day
LV,804,303,476,632,804,976,1131,1305,2021-08-21,day
MT,179,0,0,0,179,808,1374,2007,2021-08-21,day
NL,29137,0,0,0,29137,59722,87250,118014,2021-08-21,day
NO,2853,841,1537,2160,2853,3545,4168,4864,2021-08-21,day
PL,2116,885,1311,1693,2116,2540,2922,3348,2021-08-21,day
PT,20929,7104,11889,16171,20929,25686,29968,34754,2021-08-21,day
RO,910,0,0,0,910,2073,3120,4290,2021-08-21,day
SE,7283,268,2696,4869,7283,9697,11869,14297,2021-08-21,day
SI,1381,577,856,1105,1381,1658,1907,2185,2021-08-21,day
SK,184,0,0,0,184,564,906,1288,2021-08-21,day
