location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,6484,4437,5145,5780,6484,7189,7823,8531,2021-08-28,day
BE,16315,11941,13455,14810,16315,17821,19175,20690,2021-08-28,day
BG,2178,0,0,651,2178,3706,5080,6617,2021-08-28,day
CH,7252,0,0,2709,7252,11795,15884,20453,2021-08-28,day
CY,2938,0,0,1360,2938,4515,5936,7523,2021-08-28,day
CZ,2722,856,1502,2080,2722,3364,3942,4588,2021-08-28,day
DE,28377,12767,18170,23005,28377,33749,38583,43986,2021-08-28,day
DK,6620,3473,4562,5537,6620,7703,8678,9768,2021-08-28,day
EE,1922,370,907,1388,1922,2456,2937,3474,2021-08-28,day
ES,85221,32779,50931,67174,85221,103268,119511,137663,2021-08-28,day
FI,12486,3032,6304,9233,12486,15740,18669,21941,2021-08-28,day
FR,143762,0,0,66218,143762,221307,291099,369094,2021-08-28,day
GB,169613,55328,94886,130284,169613,208943,244341,283899,2021-08-28,day
GR,42562,28318,33249,37660,42562,47464,51876,56807,2021-08-28,day
HR,3256,2054,2470,2842,3256,3670,4042,4458,2021-08-28,day
HU,904,622,720,807,904,1001,1088,1186,2021-08-28,day
IE,6695,0,0,2190,6695,11200,15255,19786,2021-08-28,day
IS,170,0,0,0,170,1062,1865,2763,2021-08-28,day
IT,21068,0,0,9830,21068,32306,42421,53724,2021-08-28,day
LI,26,0,0,5,26,46,65,85,2021-08-28,day
LT,3996,0,1247,2549,3996,5443,6745,8201,2021-08-28,day
LU,337,0,61,191,337,482,613,759,2021-08-28,day
LV,834,353,519,669,834,1000,1149,1315,2021-08-28,day
MT,296,0,0,0,296,664,995,1366,2021-08-28,day
NL,20448,0,0,0,20448,46859,70630,97195,2021-08-28,day
NO,43,0,0,0,43,2055,3865,5889,2021-08-28,day
PL,2647,1057,1607,2100,2647,3194,3687,4237,2021-08-28,day
PT,22574,9884,14276,18207,22574,26941,30871,35264,2021-08-28,day
RO,0,0,0,0,0,1488,2828,4325,2021-08-28,day
SE,8636,0,1265,4756,8636,12515,16006,19908,2021-08-28,day
SI,1694,777,1094,1379,1694,2010,2294,2612,2021-08-28,day
SK,167,0,0,0,167,518,833,1185,2021-08-28,day
