location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,17456,8050,11306,14219,17456,20693,23607,26863,2021-09-25,day
BE,13825,11818,12513,13135,13825,14516,15138,15833,2021-09-25,day
BG,19095,3881,9147,13860,19095,24331,29043,34309,2021-09-25,day
CH,31473,18406,22929,26976,31473,35969,40017,44540,2021-09-25,day
CY,1220,0,0,152,1220,2288,3249,4324,2021-09-25,day
CZ,2899,382,1253,2032,2899,3765,4544,5415,2021-09-25,day
DE,79726,20114,40748,59211,79726,100240,118703,139337,2021-09-25,day
DK,4251,0,1276,2685,4251,5817,7227,8802,2021-09-25,day
EE,3669,2283,2763,3192,3669,4146,4576,5055,2021-09-25,day
ES,34045,0,0,3643,34045,64446,91809,122387,2021-09-25,day
FI,3446,2266,2674,3040,3446,3851,4217,4625,2021-09-25,day
FR,127556,0,16945,69340,127556,185771,238166,296720,2021-09-25,day
GB,259962,179274,207203,232194,259962,287730,312721,340650,2021-09-25,day
GR,15579,0,4844,9929,15579,21230,26315,31998,2021-09-25,day
HR,6129,1647,3199,4587,6129,7672,9060,10612,2021-09-25,day
HU,1948,0,368,1116,1948,2779,3527,4363,2021-09-25,day
IE,12127,2222,5650,8718,12127,15536,18604,22032,2021-09-25,day
IS,227,0,0,0,227,524,790,1088,2021-09-25,day
IT,47557,29429,35703,41318,47557,53796,59411,65686,2021-09-25,day
LI,64,20,35,49,64,79,92,108,2021-09-25,day
LT,7089,4807,5597,6304,7089,7875,8581,9371,2021-09-25,day
LU,701,458,542,617,701,784,860,944,2021-09-25,day
LV,2498,0,814,1612,2498,3384,4181,5073,2021-09-25,day
MT,394,139,227,306,394,482,561,649,2021-09-25,day
NL,20958,17235,18524,19677,20958,22240,23393,24682,2021-09-25,day
NO,9003,0,0,1075,9003,16931,24067,32041,2021-09-25,day
PL,6130,1361,3012,4489,6130,7772,9249,10900,2021-09-25,day
PT,11876,5302,7578,9614,11876,14139,16175,18451,2021-09-25,day
RO,2621,0,0,0,2621,8401,13603,19416,2021-09-25,day
SE,9802,7644,8391,9059,9802,10545,11213,11960,2021-09-25,day
SI,57,0,0,0,57,5014,9476,14463,2021-09-25,day
SK,497,0,0,0,497,1626,2642,3778,2021-09-25,day
