location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,15515,1459,6324,10678,15515,20352,24705,29571,2021-09-04,day
BE,27565,21571,23646,25502,27565,29628,31484,33559,2021-09-04,day
BG,61,0,0,0,61,4127,7786,11876,2021-09-04,day
CH,4445,0,0,0,4445,14093,22776,32480,2021-09-04,day
CY,5330,629,2256,3712,5330,6948,8404,10031,2021-09-04,day
CZ,2782,1247,1778,2254,2782,3310,3786,4318,2021-09-04,day
DE,0,0,0,0,0,24724,46976,71843,2021-09-04,day
DK,15233,8825,11043,13028,15233,17439,19423,21642,2021-09-04,day
EE,0,0,0,0,0,1543,2932,4483,2021-09-04,day
ES,157314,0,23384,86826,157314,227802,291243,362141,2021-09-04,day
FI,9229,1335,4067,6512,9229,11945,14390,17123,2021-09-04,day
FR,280278,203033,229770,253695,280278,306860,330785,357522,2021-09-04,day
GB,427206,127594,231300,324099,427206,530312,623112,726818,2021-09-04,day
GR,49748,33763,39296,44247,49748,55249,60200,65733,2021-09-04,day
HR,29,0,0,0,29,1387,2610,3976,2021-09-04,day
HU,1022,896,940,979,1022,1065,1104,1148,2021-09-04,day
IE,13834,6627,9121,11354,13834,16314,18547,21041,2021-09-04,day
IS,14,0,0,0,14,820,1546,2357,2021-09-04,day
IT,67837,50842,56724,61988,67837,73686,78950,84832,2021-09-04,day
LI,28,0,0,0,28,84,135,192,2021-09-04,day
LT,8129,2021,4135,6027,8129,10232,12124,14238,2021-09-04,day
LU,597,0,199,387,597,806,995,1205,2021-09-04,day
LV,0,0,0,0,0,649,1232,1885,2021-09-04,day
MT,249,0,0,0,249,649,1009,1412,2021-09-04,day
NL,14246,0,0,0,14246,30490,45111,61449,2021-09-04,day
NO,283,0,0,0,283,1803,3170,4699,2021-09-04,day
PL,2682,1096,1645,2136,2682,3228,3719,4268,2021-09-04,day
PT,33516,13577,20479,26655,33516,40378,46554,53456,2021-09-04,day
RO,576,0,0,0,576,2773,4750,6960,2021-09-04,day
SE,109,0,0,0,109,4788,8999,13705,2021-09-04,day
SI,13,0,0,0,13,1444,2733,4172,2021-09-04,day
SK,905,334,532,708,905,1101,1278,1475,2021-09-04,day
