location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,99201,6820,38797,67410,99201,130993,159606,191582,2021-12-04,day
BE,100832,720,35372,66380,100832,135284,166292,200945,2021-12-04,day
BG,13031,0,756,6570,13031,19491,25305,31803,2021-12-04,day
CH,32838,2696,13129,22465,32838,43211,52547,62980,2021-12-04,day
CY,4034,3027,3376,3687,4034,4380,4692,5040,2021-12-04,day
CZ,65748,0,0,19031,65748,112464,154510,201498,2021-12-04,day
DE,348088,50299,153374,245609,348088,450567,542802,645877,2021-12-04,day
DK,26715,0,5787,15700,26715,37729,47643,58722,2021-12-04,day
EE,5137,0,0,359,5137,9915,14215,19021,2021-12-04,day
ES,56503,51009,52911,54612,56503,58394,60095,61997,2021-12-04,day
FI,7970,1999,4065,5915,7970,10024,11874,13940,2021-12-04,day
FR,116976,12933,48946,81171,116976,152780,185006,221018,2021-12-04,day
GB,284054,186512,220275,250487,284054,317622,347834,381597,2021-12-04,day
GR,47918,0,10966,28470,47918,67366,84869,104430,2021-12-04,day
HR,32314,767,11686,21458,32314,43170,52942,63861,2021-12-04,day
HU,59933,0,3604,30287,59933,89580,116263,146082,2021-12-04,day
IE,30974,0,9517,19681,30974,42267,52432,63790,2021-12-04,day
IS,1136,0,310,701,1136,1571,1962,2399,2021-12-04,day
IT,64850,0,18837,40633,64850,89067,110863,135221,2021-12-04,day
LI,291,0,0,133,291,448,590,748,2021-12-04,day
LT,12071,6210,8239,10054,12071,14088,15903,17931,2021-12-04,day
LU,1758,488,927,1321,1758,2195,2588,3028,2021-12-04,day
LV,6143,0,0,0,6143,14323,21684,29911,2021-12-04,day
MT,628,121,297,453,628,802,959,1135,2021-12-04,day
NL,139915,14535,57934,96768,139915,183063,221897,265295,2021-12-04,day
NO,14331,0,3685,8728,14331,19934,24976,30612,2021-12-04,day
PL,136364,11022,54407,93230,136364,179499,218321,261707,2021-12-04,day
PT,18878,12226,14528,16588,18878,21167,23227,25530,2021-12-04,day
RO,28734,0,0,0,28734,72719,112307,156547,2021-12-04,day
SE,5782,3167,4072,4882,5782,6682,7492,8397,2021-12-04,day
SI,22984,2117,9340,15803,22984,30165,36628,43851,2021-12-04,day
SK,17350,0,0,0,17350,82288,140734,206049,2021-12-04,day
