location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,12082,6868,8673,10288,12082,13877,15492,17297,2021-10-09,day
BE,14374,12964,13452,13889,14374,14859,15296,15784,2021-10-09,day
BG,11023,8773,9552,10249,11023,11798,12495,13274,2021-10-09,day
CH,6470,0,0,2813,6470,10127,13419,17098,2021-10-09,day
CY,1259,0,0,371,1259,2147,2946,3839,2021-10-09,day
CZ,5206,720,2273,3662,5206,6750,8139,9692,2021-10-09,day
DE,56086,23508,34784,44875,56086,67297,77387,88664,2021-10-09,day
DK,1581,0,0,0,1581,3907,6001,8341,2021-10-09,day
EE,3770,2253,2778,3248,3770,4292,4762,5287,2021-10-09,day
ES,13515,0,0,0,13515,36586,57350,80555,2021-10-09,day
FI,2565,1261,1712,2116,2565,3014,3418,3869,2021-10-09,day
FR,33583,0,0,0,33583,70304,103354,140288,2021-10-09,day
GB,216319,136806,164328,188956,216319,243683,268310,295833,2021-10-09,day
GR,14855,1990,6443,10428,14855,19282,23267,27720,2021-10-09,day
HR,8092,0,2169,4975,8092,11209,14015,17150,2021-10-09,day
HU,3749,1022,1966,2810,3749,4687,5532,6476,2021-10-09,day
IE,9015,3983,5725,7283,9015,10747,12306,14048,2021-10-09,day
IS,100,0,0,13,100,187,266,353,2021-10-09,day
IT,27448,7880,14653,20714,27448,34182,40243,47016,2021-10-09,day
LI,35,0,0,4,35,65,92,122,2021-10-09,day
LT,9540,344,3527,6376,9540,12705,15553,18737,2021-10-09,day
LU,583,508,534,557,583,609,632,658,2021-10-09,day
LV,4182,0,1174,2599,4182,5765,7190,8783,2021-10-09,day
MT,135,0,0,31,135,239,332,437,2021-10-09,day
NL,11976,459,4446,8013,11976,15940,19507,23493,2021-10-09,day
NO,4752,1150,2397,3512,4752,5992,7107,8354,2021-10-09,day
PL,5945,0,1124,3408,5945,8483,10767,13320,2021-10-09,day
PT,3427,0,0,0,3427,9073,14155,19834,2021-10-09,day
RO,432,0,0,0,432,33901,64024,97688,2021-10-09,day
SE,5213,3439,4053,4603,5213,5824,6374,6988,2021-10-09,day
SI,1040,0,0,0,1040,7068,12494,18558,2021-10-09,day
SK,5796,0,45,2769,5796,8823,11548,14592,2021-10-09,day
