location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,13842,10053,11365,12538,13842,15146,16320,17631,2021-10-23,day
BE,14109,11820,12612,13321,14109,14897,15606,16398,2021-10-23,day
BG,15206,6635,9602,12256,15206,18156,20810,23777,2021-10-23,day
CH,7462,0,0,2382,7462,12542,17114,22223,2021-10-23,day
CY,748,4,261,491,748,1004,1234,1491,2021-10-23,day
CZ,2493,0,0,990,2493,3996,5349,6861,2021-10-23,day
DE,58039,35926,43580,50429,58039,65649,72498,80152,2021-10-23,day
DK,3739,1000,1948,2797,3739,4682,5530,6479,2021-10-23,day
EE,6225,465,2459,4243,6225,8207,9991,11985,2021-10-23,day
ES,12814,0,0,4618,12814,21010,28387,36631,2021-10-23,day
FI,3173,1160,1857,2480,3173,3866,4489,5186,2021-10-23,day
FR,7067,0,0,0,7067,25455,42005,60499,2021-10-23,day
GB,243909,179333,201685,221686,243909,266131,286133,308485,2021-10-23,day
GR,15559,14786,15053,15293,15559,15825,16065,16333,2021-10-23,day
HR,9189,5865,7016,8045,9189,10332,11362,12512,2021-10-23,day
HU,5262,3606,4179,4692,5262,5832,6344,6917,2021-10-23,day
IE,9413,8097,8553,8960,9413,9866,10274,10729,2021-10-23,day
IS,314,176,224,267,314,362,405,453,2021-10-23,day
IT,19229,0,4935,11706,19229,26753,33524,41091,2021-10-23,day
LI,79,0,0,3,79,154,222,299,2021-10-23,day
LT,14692,923,5689,9953,14692,19430,23695,28461,2021-10-23,day
LU,714,660,678,695,714,732,749,767,2021-10-23,day
LV,9621,0,1859,5536,9621,13706,17383,21492,2021-10-23,day
MT,38,0,0,0,38,135,222,318,2021-10-23,day
NL,15335,5257,8745,11867,15335,18803,21924,25412,2021-10-23,day
NO,2901,0,0,465,2901,5337,7529,9980,2021-10-23,day
PL,13050,1527,5515,9084,13050,17015,20585,24573,2021-10-23,day
PT,4227,0,0,1860,4227,6594,8724,11105,2021-10-23,day
RO,17221,0,0,0,17221,98016,170733,251998,2021-10-23,day
SE,3061,0,831,1887,3061,4234,5290,6470,2021-10-23,day
SI,5792,4290,4810,5275,5792,6309,6775,7295,2021-10-23,day
SK,11016,0,3042,6820,11016,15213,18990,23212,2021-10-23,day
