location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,93612,0,13356,51373,93612,135852,173869,216354,2021-12-11,day
BE,121025,27931,60154,88988,121025,153062,181897,214120,2021-12-11,day
BG,13696,3800,7225,10290,13696,17102,20167,23592,2021-12-11,day
CH,46720,0,6904,25764,46720,67675,86535,107612,2021-12-11,day
CY,1382,0,335,831,1382,1933,2429,2983,2021-12-11,day
CZ,131903,0,26493,76425,131903,187381,237313,293114,2021-12-11,day
DE,417567,72611,192012,298856,417567,536278,643122,762523,2021-12-11,day
DK,28636,0,7006,17252,28636,40021,50267,61718,2021-12-11,day
EE,4622,0,0,681,4622,8563,12109,16073,2021-12-11,day
ES,75530,55182,62225,68527,75530,82532,88835,95878,2021-12-11,day
FI,7661,249,2815,5110,7661,10211,12507,15073,2021-12-11,day
FR,161457,0,13601,83639,161457,239274,309313,387583,2021-12-11,day
GB,295682,194330,229411,260803,295682,330561,361953,397035,2021-12-11,day
GR,47490,9483,22639,34411,47490,60569,72341,85497,2021-12-11,day
HR,35024,15136,22020,28180,35024,41868,48028,54912,2021-12-11,day
HU,71598,7047,29390,49384,71598,93812,113806,136149,2021-12-11,day
IE,32113,11040,18334,24861,32113,39366,45893,53187,2021-12-11,day
IS,1046,88,420,716,1046,1376,1673,2005,2021-12-11,day
IT,81091,0,25364,51762,81091,110421,136818,166318,2021-12-11,day
LI,0,0,0,0,0,0,0,0,2021-12-11,day
LT,11322,3248,6043,8544,11322,14101,16602,19397,2021-12-11,day
LU,2183,870,1325,1731,2183,2634,3041,3495,2021-12-11,day
LV,6484,0,0,0,6484,14393,21511,29466,2021-12-11,day
MT,682,117,313,488,682,876,1051,1246,2021-12-11,day
NL,158879,16207,65591,109781,158879,207977,252167,301551,2021-12-11,day
NO,18073,626,6665,12069,18073,24077,29481,35521,2021-12-11,day
PL,161294,26011,72837,114739,161294,207850,249751,296577,2021-12-11,day
PT,24240,11189,15706,19749,24240,28731,32774,37291,2021-12-11,day
RO,16737,0,0,0,16737,49869,79688,113013,2021-12-11,day
SE,10383,4461,6511,8345,10383,12421,14256,16306,2021-12-11,day
SI,18003,6495,10478,14043,18003,21963,25528,29511,2021-12-11,day
SK,10654,0,0,0,10654,87230,156150,233171,2021-12-11,day
