location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,0,0,0,0,0,5850,11115,16999,2021-05-29,day
BE,11770,0,1522,6377,11770,17164,22019,27444,2021-05-29,day
BG,2621,0,0,0,2621,6800,10562,14765,2021-05-29,day
CH,9203,0,2306,5573,9203,12832,16100,19751,2021-05-29,day
CY,2039,0,0,694,2039,3384,4594,5946,2021-05-29,day
CZ,0,0,0,0,0,10168,19319,29546,2021-05-29,day
DE,80624,0,16373,46808,80624,114439,144874,178886,2021-05-29,day
DK,6639,3403,4523,5525,6639,7752,8754,9874,2021-05-29,day
EE,3104,588,1459,2238,3104,3969,4749,5619,2021-05-29,day
ES,28940,0,0,6473,28940,51407,71628,94225,2021-05-29,day
FI,749,0,0,262,749,1236,1674,2164,2021-05-29,day
FR,115961,2381,41695,76874,115961,155047,190227,229541,2021-05-29,day
GB,22338,3891,10276,15990,22338,28687,34401,40786,2021-05-29,day
GR,11512,5890,7836,9577,11512,13447,15188,17134,2021-05-29,day
HR,8353,0,909,4435,8353,12270,15796,19737,2021-05-29,day
HU,5267,0,0,0,5267,17090,27732,39624,2021-05-29,day
IE,2686,381,1179,1893,2686,3479,4192,4990,2021-05-29,day
IS,31,0,0,0,31,74,114,158,2021-05-29,day
IT,46229,0,0,18877,46229,73582,98200,125711,2021-05-29,day
LI,9,0,0,0,9,22,34,46,2021-05-29,day
LT,140,0,0,0,140,758,1314,1936,2021-05-29,day
LU,637,0,0,253,637,1022,1368,1755,2021-05-29,day
LV,5897,4548,5015,5433,5897,6361,6778,7245,2021-05-29,day
MT,28,0,0,0,28,161,281,414,2021-05-29,day
NL,42331,25409,31266,36507,42331,48154,53395,59252,2021-05-29,day
NO,3466,1505,2184,2791,3466,4141,4748,5427,2021-05-29,day
PL,977,0,0,0,977,60491,114055,173915,2021-05-29,day
PT,3160,2184,2522,2824,3160,3495,3797,4135,2021-05-29,day
RO,144,0,0,0,144,10747,20290,30954,2021-05-29,day
SE,28618,21125,23718,26039,28618,31197,33518,36111,2021-05-29,day
SI,2920,0,830,1820,2920,4020,5011,6117,2021-05-29,day
SK,1802,0,0,361,1802,3244,4541,5991,2021-05-29,day
