location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,22909,15514,18074,20364,22909,25454,27745,30305,2021-04-17,day
BE,18744,18369,18499,18615,18744,18873,18989,19119,2021-04-17,day
BG,25150,21118,22514,23763,25150,26538,27786,29182,2021-04-17,day
CH,8725,8555,8614,8666,8725,8783,8836,8895,2021-04-17,day
CY,2438,1795,2018,2217,2438,2659,2858,3081,2021-04-17,day
CZ,61148,48073,52599,56649,61148,65648,69698,74224,2021-04-17,day
DE,106754,83961,91850,98910,106754,114598,121658,129547,2021-04-17,day
DK,3623,3551,3576,3598,3623,3648,3670,3695,2021-04-17,day
EE,9584,7292,8085,8795,9584,10372,11082,11875,2021-04-17,day
ES,14458,14175,14273,14360,14458,14555,14642,14740,2021-04-17,day
FI,4544,3511,3868,4188,4544,4899,5219,5576,2021-04-17,day
FR,216081,165728,183157,198753,216081,233409,249005,266433,2021-04-17,day
GB,38102,25618,29939,33806,38102,42398,46265,50586,2021-04-17,day
GR,19673,14959,16591,18051,19673,21295,22755,24386,2021-04-17,day
HR,9193,7105,7828,8475,9193,9912,10558,11281,2021-04-17,day
HU,69023,56668,60944,64771,69023,73274,77101,81378,2021-04-17,day
IE,3989,3015,3352,3654,3989,4324,4625,4962,2021-04-17,day
IS,35,33,34,35,35,36,37,37,2021-04-17,day
IT,161849,109087,127350,143692,161849,180007,196349,214612,2021-04-17,day
LI,18,18,18,18,18,18,18,19,2021-04-17,day
LT,3925,3847,3874,3898,3925,3952,3976,4002,2021-04-17,day
LU,1425,1235,1301,1360,1425,1490,1549,1615,2021-04-17,day
LV,3611,2738,3040,3311,3611,3911,4181,4483,2021-04-17,day
MT,1270,1104,1162,1213,1270,1328,1379,1437,2021-04-17,day
NL,46434,37004,40268,43189,46434,49679,52600,55864,2021-04-17,day
NO,6239,4532,5123,5651,6239,6826,7354,7945,2021-04-17,day
PL,188373,105619,134263,159894,188373,216851,242482,271126,2021-04-17,day
PT,7345,5721,6283,6786,7345,7904,8408,8970,2021-04-17,day
RO,37190,27298,30722,33786,37190,40594,43657,47081,2021-04-17,day
SE,33036,23397,26733,29719,33036,36353,39338,42675,2021-04-17,day
SI,5719,5607,5646,5681,5719,5758,5793,5832,2021-04-17,day
SK,11577,9314,10097,10798,11577,12356,13057,13841,2021-04-17,day
