location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,13652,5456,8293,10831,13652,16472,19011,21847,2021-09-18,day
BE,28705,24160,25734,27141,28705,30270,31677,33251,2021-09-18,day
BG,21341,670,7825,14228,21341,28455,34858,42013,2021-09-18,day
CH,30314,0,6895,17988,30314,42639,53732,66129,2021-09-18,day
CY,2023,0,0,581,2023,3465,4763,6214,2021-09-18,day
CZ,3243,2407,2696,2955,3243,3530,3789,4078,2021-09-18,day
DE,44780,0,0,0,44780,91731,133989,181213,2021-09-18,day
DK,6801,2987,4307,5489,6801,8113,9295,10615,2021-09-18,day
EE,5091,2384,3321,4159,5091,6022,6861,7798,2021-09-18,day
ES,62153,6491,25757,42998,62153,81308,98548,117815,2021-09-18,day
FI,4827,2844,3530,4145,4827,5510,6125,6811,2021-09-18,day
FR,126502,18316,55763,89272,126502,163733,197242,234689,2021-09-18,day
GB,451674,285948,343312,394642,451674,508705,560035,617399,2021-09-18,day
GR,38216,19847,26205,31895,38216,44538,50228,56586,2021-09-18,day
HR,1513,0,0,0,1513,3286,4881,6664,2021-09-18,day
HU,503,0,0,0,503,1282,1983,2766,2021-09-18,day
IE,15309,0,4558,9651,15309,20967,26059,31750,2021-09-18,day
IS,816,0,232,509,816,1123,1399,1708,2021-09-18,day
IT,83585,70320,74911,79020,83585,88150,92259,96850,2021-09-18,day
LI,20,0,0,0,20,71,117,169,2021-09-18,day
LT,6403,4159,4936,5631,6403,7176,7871,8648,2021-09-18,day
LU,739,214,396,559,739,920,1083,1264,2021-09-18,day
LV,958,0,0,164,958,1751,2466,3265,2021-09-18,day
MT,782,116,346,553,782,1011,1217,1447,2021-09-18,day
NL,31703,21499,25031,28191,31703,35214,38374,41906,2021-09-18,day
NO,0,0,0,0,0,8544,16234,24827,2021-09-18,day
PL,3266,1783,2297,2756,3266,3776,4235,4748,2021-09-18,day
PT,25295,13771,17760,21329,25295,29261,32830,36819,2021-09-18,day
RO,1554,0,0,0,1554,5310,8690,12468,2021-09-18,day
SE,8869,6314,7198,7990,8869,9749,10540,11425,2021-09-18,day
SI,2305,0,0,311,2305,4299,6093,8098,2021-09-18,day
SK,1433,101,562,975,1433,1892,2305,2766,2021-09-18,day
