location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,21946,10911,14731,18148,21946,25743,29161,32980,2021-11-06,day
BE,33152,1630,12541,22304,33152,44000,53763,64674,2021-11-06,day
BG,28884,0,9576,18722,28884,39046,48192,58413,2021-11-06,day
CH,8008,0,2368,5040,8008,10976,13647,16632,2021-11-06,day
CY,1029,0,0,433,1029,1625,2161,2760,2021-11-06,day
CZ,19428,0,1828,10165,19428,28691,37028,46344,2021-11-06,day
DE,102868,51528,69299,85200,102868,120535,136436,154207,2021-11-06,day
DK,7208,1830,3691,5357,7208,9059,10724,12586,2021-11-06,day
EE,9089,329,3361,6074,9089,12103,14816,17849,2021-11-06,day
ES,14603,5547,8681,11486,14603,17719,20524,23658,2021-11-06,day
FI,3388,1616,2229,2778,3388,3997,4546,5159,2021-11-06,day
FR,34798,16065,22550,28352,34798,41245,47047,53531,2021-11-06,day
GB,340510,160109,222552,278428,340510,402592,458468,520911,2021-11-06,day
GR,21881,12656,15849,18706,21881,25056,27913,31106,2021-11-06,day
HR,14974,5316,8659,11650,14974,18297,21289,24631,2021-11-06,day
HU,10874,0,1857,6128,10874,15620,19892,24665,2021-11-06,day
IE,14688,4762,8198,11272,14688,18104,21179,24614,2021-11-06,day
IS,457,111,230,338,457,576,683,803,2021-11-06,day
IT,22016,9064,13547,17559,22016,26473,30485,34968,2021-11-06,day
LI,40,0,0,0,40,97,148,206,2021-11-06,day
LT,19707,3967,9415,14290,19707,25123,29998,35446,2021-11-06,day
LU,904,550,672,782,904,1026,1136,1259,2021-11-06,day
LV,17417,0,2897,9775,17417,25059,31937,39624,2021-11-06,day
MT,98,6,38,66,98,129,157,189,2021-11-06,day
NL,32559,0,6768,18985,32559,46133,58350,72003,2021-11-06,day
NO,3450,0,1120,2224,3450,4676,5779,7013,2021-11-06,day
PL,30307,0,9969,19603,30307,41010,50644,61410,2021-11-06,day
PT,5349,3504,4143,4714,5349,5984,6555,7194,2021-11-06,day
RO,106219,29789,56244,79917,106219,132521,156194,182649,2021-11-06,day
SE,4503,3911,4116,4299,4503,4707,4890,5095,2021-11-06,day
SI,10827,4083,6417,8506,10827,13148,15237,17571,2021-11-06,day
SK,19980,0,6760,13023,19980,26938,33200,40199,2021-11-06,day
