location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,0,0,0,0,0,5415,10289,15735,2021-06-12,day
BE,13710,4008,7367,10372,13710,17049,20054,23413,2021-06-12,day
BG,488,0,0,0,488,2281,3896,5700,2021-06-12,day
CH,8306,0,0,3601,8306,13011,17246,21978,2021-06-12,day
CY,594,0,0,0,594,1567,2442,3420,2021-06-12,day
CZ,1305,0,0,0,1305,7118,12350,18197,2021-06-12,day
DE,58989,0,0,7516,58989,110462,156789,208562,2021-06-12,day
DK,6490,3028,4227,5299,6490,7682,8754,9952,2021-06-12,day
EE,1199,0,0,0,1199,2431,3540,4780,2021-06-12,day
ES,51599,11297,25247,37730,51599,65468,77951,91901,2021-06-12,day
FI,1614,507,890,1233,1614,1995,2338,2721,2021-06-12,day
FR,59496,0,0,0,59496,119829,174130,234814,2021-06-12,day
GB,30572,25174,27042,28714,30572,32429,34101,35969,2021-06-12,day
GR,7837,251,2877,5226,7837,10448,12797,15423,2021-06-12,day
HR,2128,0,0,0,2128,8124,13520,19551,2021-06-12,day
HU,0,0,0,0,0,5290,10051,15372,2021-06-12,day
IE,0,0,0,0,0,1443,2742,4194,2021-06-12,day
IS,0,0,0,0,0,24,46,70,2021-06-12,day
IT,0,0,0,0,0,30281,57534,87991,2021-06-12,day
LI,9,0,0,0,9,21,31,43,2021-06-12,day
LT,5279,0,0,2379,5279,8179,10790,13707,2021-06-12,day
LU,304,0,0,0,304,730,1113,1542,2021-06-12,day
LV,1712,0,0,708,1712,2717,3621,4632,2021-06-12,day
MT,9,0,0,0,9,99,179,269,2021-06-12,day
NL,23878,0,0,11031,23878,36725,48287,61209,2021-06-12,day
NO,5425,4623,4900,5149,5425,5701,5949,6227,2021-06-12,day
PL,0,0,0,0,0,16404,31168,47667,2021-06-12,day
PT,6783,3623,4717,5696,6783,7871,8849,9943,2021-06-12,day
RO,0,0,0,0,0,2844,5404,8265,2021-06-12,day
SE,19626,0,0,4677,19626,34576,48030,63067,2021-06-12,day
SI,1070,0,0,0,1070,3003,4742,6686,2021-06-12,day
SK,0,0,0,0,0,1227,2331,3565,2021-06-12,day
