location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,1409,0,0,0,1409,2984,4402,5986,2021-07-03,day
BE,0,0,0,0,0,7720,14668,22433,2021-07-03,day
BG,120,0,0,0,120,1005,1801,2690,2021-07-03,day
CH,0,0,0,0,0,3115,5918,9051,2021-07-03,day
CY,329,150,212,268,329,391,446,508,2021-07-03,day
CZ,0,0,0,0,0,1772,3367,5149,2021-07-03,day
DE,0,0,0,0,0,18246,34667,53019,2021-07-03,day
DK,2819,0,0,0,2819,6202,9247,12650,2021-07-03,day
EE,0,0,0,0,0,405,769,1176,2021-07-03,day
ES,48352,25719,33553,40563,48352,56140,63150,70984,2021-07-03,day
FI,393,0,0,0,393,1092,1722,2425,2021-07-03,day
FR,0,0,0,0,0,39588,75218,115036,2021-07-03,day
GB,63396,0,15019,37935,63396,88857,111773,137382,2021-07-03,day
GR,3688,0,0,0,3688,7403,10746,14483,2021-07-03,day
HR,306,0,0,0,306,2018,3559,5282,2021-07-03,day
HU,203,0,0,0,203,1403,2484,3691,2021-07-03,day
IE,2419,0,0,471,2419,4367,6120,8079,2021-07-03,day
IS,1,0,0,1,1,2,2,3,2021-07-03,day
IT,0,0,0,0,0,13808,26236,40125,2021-07-03,day
LI,1,0,0,0,1,3,5,8,2021-07-03,day
LT,0,0,0,0,0,1931,3669,5611,2021-07-03,day
LU,0,0,0,0,0,271,515,787,2021-07-03,day
LV,0,0,0,0,0,1488,2827,4323,2021-07-03,day
MT,0,0,0,0,0,28,53,82,2021-07-03,day
NL,0,0,0,0,0,13914,26438,40433,2021-07-03,day
NO,1360,0,0,576,1360,2145,2851,3640,2021-07-03,day
PL,0,0,0,0,0,2994,5690,8701,2021-07-03,day
PT,2395,0,0,403,2395,4386,6179,8182,2021-07-03,day
RO,0,0,0,0,0,1142,2170,3319,2021-07-03,day
SE,0,0,0,0,0,7463,14181,21687,2021-07-03,day
SI,0,0,0,0,0,364,692,1058,2021-07-03,day
SK,258,0,0,0,258,563,838,1144,2021-07-03,day
