location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,1543,0,0,0,1543,3564,5384,7417,2021-07-10,day
BE,0,0,0,0,0,4281,8133,12439,2021-07-10,day
BG,480,0,0,107,480,853,1189,1565,2021-07-10,day
CH,99,0,0,0,99,2900,5421,8238,2021-07-10,day
CY,841,240,448,635,841,1048,1235,1443,2021-07-10,day
CZ,680,0,0,0,680,1571,2373,3270,2021-07-10,day
DE,0,0,0,0,0,10811,20542,31416,2021-07-10,day
DK,47,0,0,0,47,3130,5905,9006,2021-07-10,day
EE,137,0,0,0,137,481,792,1138,2021-07-10,day
ES,48034,14697,26236,36562,48034,59506,69832,81371,2021-07-10,day
FI,1457,27,522,965,1457,1950,2393,2888,2021-07-10,day
FR,0,0,0,0,0,37008,70317,107540,2021-07-10,day
GB,2675,0,0,0,2675,57647,107124,162416,2021-07-10,day
GR,2495,0,0,0,2495,5482,8171,11175,2021-07-10,day
HR,562,0,0,0,562,1988,3272,4707,2021-07-10,day
HU,0,0,0,0,0,1143,2172,3322,2021-07-10,day
IE,892,0,0,0,892,3112,5111,7344,2021-07-10,day
IS,2,1,1,2,2,2,3,3,2021-07-10,day
IT,4122,0,0,0,4122,13279,21521,30731,2021-07-10,day
LI,3,0,0,1,3,6,8,11,2021-07-10,day
LT,0,0,0,0,0,1086,2063,3155,2021-07-10,day
LU,0,0,0,0,0,146,277,424,2021-07-10,day
LV,0,0,0,0,0,944,1793,2742,2021-07-10,day
MT,0,0,0,0,0,16,30,46,2021-07-10,day
NL,0,0,0,0,0,8606,16351,25007,2021-07-10,day
NO,452,0,0,0,452,1360,2178,3092,2021-07-10,day
PL,0,0,0,0,0,2333,4434,6781,2021-07-10,day
PT,2943,0,0,0,2943,7777,12128,16991,2021-07-10,day
RO,0,0,0,0,0,763,1450,2218,2021-07-10,day
SE,0,0,0,0,0,4704,8937,13669,2021-07-10,day
SI,9,0,0,0,9,274,512,778,2021-07-10,day
SK,71,0,0,0,71,384,665,980,2021-07-10,day
